,parent_line_item,Dec 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,4175.0,2936.0,5048.0,
Cash from Investing Activity,,-1237.0,-1811.0,-624.0,
Cash from Financing Activity,,-3135.0,-1848.0,-3179.0,
Net Cash Flow,,-198.0,-723.0,1244.0,
Free Cash Flow,,2296.0,932.0,4221.0,
CFO/OP,,94.0,83.0,116.0,
Profit from operations,Cash from Operating Activity,,5722.0,4672.0,5326.0
Receivables,Cash from Operating Activity,,-109.0,-70.0,34.0
Inventory,Cash from Operating Activity,,-161.0,-767.0,281.0
Payables,Cash from Operating Activity,,310.0,134.0,588.0
Loans Advances,Cash from Operating Activity,,-21.0,-199.0,0.0
Other WC items,Cash from Operating Activity,,-268.0,191.0,-110.0
Working capital changes,Cash from Operating Activity,,-249.0,-711.0,793.0
Direct taxes,Cash from Operating Activity,,-1299.0,-1024.0,-1071.0
Fixed assets purchased,Cash from Investing Activity,,-1883.0,-2009.0,-830.0
Fixed assets sold,Cash from Investing Activity,,4.0,4.0,3.0
Investments sold,Cash from Investing Activity,,284.0,424.0,0.0
Interest received,Cash from Investing Activity,,167.0,76.0,34.0
Acquisition of companies,Cash from Investing Activity,,0.0,-706.0,0.0
Other investing items,Cash from Investing Activity,,190.0,400.0,168.0
