,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,-39.0,-40.0,-57.0,-77.0,-60.0,-73.0,-6.0,16.0,-52.0,125.0,12.0,-24.0
Cash from Investing Activity,,42.0,-2.0,-378.0,39.0,-351.0,53.0,5.0,-1.0,-2.0,-275.0,-25.0,-28.0
Cash from Financing Activity,,-60.0,42.0,431.0,39.0,399.0,20.0,0.0,-15.0,54.0,166.0,-1.0,84.0
Net Cash Flow,,-57.0,0.0,-3.0,1.0,-12.0,-0.0,-0.0,1.0,-0.0,15.0,-14.0,32.0
Free Cash Flow,,-47.0,-58.0,-68.0,-80.0,-67.0,-76.0,-7.0,16.0,-55.0,-176.0,-61.0,-68.0
CFO/OP,,157.0,90.0,98.0,110.0,75.0,86.0,72.0,260.0,112.0,354.0,289.0,-53.0
Profit from operations,Cash from Operating Activity,-21.0,-36.0,-55.0,-62.0,-95.0,-80.0,-21.0,6.0,-51.0,51.0,50.0,70.0
Receivables,Cash from Operating Activity,0.0,-10.0,-14.0,-5.0,9.0,23.0,4.0,5.0,-13.0,-120.0,-49.0,-56.0
Inventory,Cash from Operating Activity,0.0,-0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Payables,Cash from Operating Activity,0.0,4.0,14.0,-9.0,12.0,-14.0,-7.0,3.0,3.0,158.0,97.0,-10.0
Other WC items,Cash from Operating Activity,-16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Working capital changes,Cash from Operating Activity,-16.0,-2.0,1.0,-13.0,21.0,10.0,-3.0,8.0,-10.0,38.0,49.0,-66.0
Direct taxes,Cash from Operating Activity,-3.0,-3.0,-3.0,-2.0,14.0,-3.0,18.0,2.0,9.0,36.0,-87.0,0.0
Other operating items,Cash from Operating Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28.0
Proceeds from shares,Cash from Financing Activity,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Proceeds from borrowings,Cash from Financing Activity,0.0,96.0,542.0,123.0,499.0,118.0,118.0,84.0,189.0,370.0,235.0,325.0
Repayment of borrowings,Cash from Financing Activity,0.0,-1.0,-40.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Interest paid fin,Cash from Financing Activity,-84.0,-53.0,-71.0,-83.0,-99.0,-96.0,-116.0,-97.0,-132.0,-184.0,-216.0,-204.0
Dividends paid,Cash from Financing Activity,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Financial liabilities,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-2.0,-21.0,-20.0,-18.0
Other financing items,Cash from Financing Activity,23.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-1.0,-1.0,0.0,0.0,-20.0
