,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,9.0,11.0,36.0,60.0,102.0,90.0,216.0,143.0,136.0,281.0,215.0,232.0
Cash from Investing Activity,,-9.0,-6.0,-5.0,-17.0,-85.0,-100.0,-142.0,-79.0,-88.0,-217.0,-168.0,-162.0
Cash from Financing Activity,,-6.0,-1.0,-21.0,68.0,-5.0,-47.0,-102.0,-32.0,-44.0,-47.0,-68.0,-87.0
Net Cash Flow,,-6.0,5.0,11.0,111.0,12.0,-58.0,-28.0,32.0,4.0,17.0,-21.0,-18.0
Free Cash Flow,,-1.0,-11.0,29.0,41.0,30.0,46.0,204.0,130.0,120.0,268.0,192.0,223.0
CFO/OP,,38.0,70.0,75.0,84.0,100.0,117.0,129.0,98.0,83.0,117.0,76.0,86.0
Profit from operations,Cash from Operating Activity,65.0,47.0,86.0,106.0,153.0,131.0,224.0,227.0,249.0,345.0,441.0,437.0
Receivables,Cash from Operating Activity,-48.0,-35.0,-61.0,-25.0,-45.0,-28.0,-1.0,-53.0,-120.0,-87.0,-144.0,-155.0
Payables,Cash from Operating Activity,6.0,1.0,14.0,3.0,-2.0,4.0,-5.0,15.0,5.0,14.0,6.0,-10.0
Loans Advances,Cash from Operating Activity,0.0,1.0,-0.0,-3.0,2.0,-1.0,1.0,-0.0,0.0,-0.0,-0.0,-0.0
Other WC items,Cash from Operating Activity,-1.0,14.0,14.0,1.0,19.0,15.0,28.0,2.0,42.0,65.0,-17.0,80.0
Working capital changes,Cash from Operating Activity,-43.0,-20.0,-34.0,-24.0,-25.0,-9.0,23.0,-36.0,-73.0,-8.0,-155.0,-86.0
Direct taxes,Cash from Operating Activity,-13.0,0.0,-17.0,-22.0,-26.0,-32.0,-31.0,-48.0,-40.0,-55.0,-71.0,-119.0
Advance tax,Cash from Operating Activity,0.0,-17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fixed assets purchased,Cash from Investing Activity,-10.0,-22.0,-7.0,-19.0,-72.0,-44.0,-12.0,-13.0,-17.0,-14.0,-23.0,-10.0
Fixed assets sold,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Investments purchased,Cash from Investing Activity,-60.0,-22.0,-87.0,-17.0,0.0,-47.0,-149.0,-164.0,-132.0,-362.0,-412.0,-522.0
Investments sold,Cash from Investing Activity,61.0,38.0,89.0,17.0,1.0,25.0,144.0,154.0,93.0,144.0,296.0,354.0
Investment income,Cash from Investing Activity,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Interest received,Cash from Investing Activity,1.0,0.0,0.0,1.0,7.0,7.0,8.0,14.0,15.0,17.0,33.0,31.0
Dividends received,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Invest in subsidiaries,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,0.0,0.0,0.0,0.0
Investment in group cos,Cash from Investing Activity,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other investing items,Cash from Investing Activity,-0.0,0.0,-0.0,1.0,-21.0,-41.0,-134.0,-64.0,-47.0,-3.0,-62.0,-16.0
