,parent_line_item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,922.0,951.0,860.0,1025.0,1717.0,1221.0,1711.0,1593.0,1329.0,1485.0
Cash from Investing Activity,,-513.0,-602.0,-149.0,-310.0,-2898.0,-190.0,-260.0,-573.0,-337.0,-2500.0
Cash from Financing Activity,,-503.0,-387.0,-647.0,-559.0,1420.0,-1420.0,-1362.0,-1114.0,-913.0,927.0
Net Cash Flow,,-94.0,-38.0,65.0,156.0,239.0,-390.0,89.0,-95.0,79.0,-89.0
Free Cash Flow,,781.0,734.0,279.0,455.0,1170.0,811.0,1260.0,1011.0,978.0,775.0
CFO/OP,,135.0,105.0,96.0,86.0,120.0,86.0,143.0,101.0,97.0,84.0
Profit from operations,Cash from Operating Activity,718.0,967.0,901.0,1326.0,1458.0,1546.0,1250.0,1649.0,1354.0,1833.0
Receivables,Cash from Operating Activity,74.0,20.0,-89.0,-24.0,31.0,-138.0,-111.0,-3.0,-23.0,-95.0
Inventory,Cash from Operating Activity,97.0,-69.0,-29.0,-18.0,131.0,-360.0,17.0,100.0,186.0,16.0
Payables,Cash from Operating Activity,233.0,179.0,141.0,-108.0,56.0,493.0,628.0,-69.0,-238.0,-84.0
Loans Advances,Cash from Operating Activity,-140.0,-55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-112.0
Other WC items,Cash from Operating Activity,0.0,0.0,-48.0,-50.0,81.0,-248.0,-56.0,-44.0,48.0,0.0
Working capital changes,Cash from Operating Activity,264.0,75.0,-24.0,-201.0,299.0,-253.0,478.0,-16.0,-27.0,-276.0
Direct taxes,Cash from Operating Activity,-60.0,-91.0,-16.0,-100.0,-39.0,-72.0,-16.0,-40.0,2.0,-72.0
Fixed assets purchased,Cash from Investing Activity,-141.0,-217.0,-581.0,-569.0,-552.0,-411.0,-486.0,-581.0,-350.0,-710.0
Fixed assets sold,Cash from Investing Activity,0.0,0.0,0.0,0.0,4.0,1.0,35.0,0.0,0.0,0.0
Investments purchased,Cash from Investing Activity,-2366.0,-3686.0,-2904.0,-4568.0,-4250.0,-3221.0,-2386.0,-3973.0,-4378.0,-9838.0
Investments sold,Cash from Investing Activity,1970.0,3295.0,3322.0,4813.0,3870.0,3424.0,2574.0,3978.0,4381.0,9849.0
Interest received,Cash from Investing Activity,6.0,5.0,14.0,15.0,15.0,24.0,4.0,3.0,5.0,5.0
Invest in subsidiaries,Cash from Investing Activity,0.0,0.0,0.0,0.0,-2271.0,0.0,0.0,0.0,0.0,0.0
Investment in group cos,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
Acquisition of companies,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1800.0
Other investing items,Cash from Investing Activity,18.0,1.0,-1.0,-1.0,286.0,-9.0,-0.0,1.0,5.0,-7.0
