,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,-938.0,453.0,174.0,-202.0,146.0,-282.0,696.0,1069.0,-2383.0,2816.0,2163.0,1380.0
Cash from Investing Activity,,-88.0,-121.0,-559.0,-592.0,-646.0,358.0,-591.0,-1390.0,1739.0,-644.0,-2392.0,-463.0
Cash from Financing Activity,,694.0,-204.0,335.0,651.0,839.0,-309.0,-116.0,1142.0,709.0,-2034.0,200.0,-1009.0
Net Cash Flow,,-333.0,128.0,-50.0,-143.0,339.0,-233.0,-11.0,821.0,64.0,138.0,-29.0,-92.0
Free Cash Flow,,-909.0,413.0,98.0,-279.0,-25.0,-508.0,-628.0,-137.0,-2985.0,2140.0,1472.0,746.0
CFO/OP,,-153.0,98.0,62.0,1.0,41.0,-6.0,90.0,115.0,-90.0,135.0,91.0,65.0
Profit from operations,Cash from Operating Activity,599.0,731.0,574.0,684.0,1170.0,1061.0,999.0,1183.0,2117.0,2430.0,3105.0,3360.0
Receivables,Cash from Operating Activity,3.0,-37.0,6.0,-75.0,72.0,-6.0,-13.0,3.0,-974.0,894.0,85.0,-211.0
Inventory,Cash from Operating Activity,-1833.0,-342.0,-361.0,-377.0,224.0,-1075.0,341.0,-352.0,-3507.0,-213.0,-233.0,-699.0
Payables,Cash from Operating Activity,15.0,8.0,11.0,95.0,87.0,-145.0,10.0,-9.0,7.0,336.0,154.0,-154.0
Loans Advances,Cash from Operating Activity,-97.0,14.0,-46.0,-752.0,-49.0,421.0,-524.0,-722.0,442.0,0.0,0.0,0.0
Other WC items,Cash from Operating Activity,527.0,290.0,172.0,435.0,-1034.0,-315.0,86.0,1256.0,9.0,-158.0,-297.0,-124.0
Working capital changes,Cash from Operating Activity,-1384.0,-66.0,-218.0,-675.0,-700.0,-1120.0,-100.0,176.0,-4022.0,859.0,-292.0,-1188.0
Direct taxes,Cash from Operating Activity,-153.0,-212.0,-182.0,-211.0,-324.0,-222.0,-203.0,-291.0,-478.0,-474.0,-650.0,-792.0
Fixed assets purchased,Cash from Investing Activity,0.0,-40.0,-76.0,-77.0,-172.0,-226.0,-1324.0,-1206.0,-602.0,-677.0,-692.0,-637.0
Fixed assets sold,Cash from Investing Activity,29.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
Investments purchased,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-168.0,-5912.0,-4119.0
Investments sold,Cash from Investing Activity,4.0,14.0,8.0,0.0,31.0,8.0,4.0,17.0,637.0,0.0,4270.0,5027.0
Interest received,Cash from Investing Activity,8.0,18.0,23.0,6.0,30.0,13.0,6.0,6.0,14.0,27.0,256.0,94.0
Dividends received,Cash from Investing Activity,5.0,1.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Loans to subsidiaries,Cash from Investing Activity,0.0,0.0,-56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investment in group cos,Cash from Investing Activity,0.0,-166.0,-301.0,0.0,-199.0,0.0,0.0,-44.0,0.0,0.0,0.0,0.0
Redemp n Canc of Shares,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,331.0,756.0,0.0,1594.0,246.0,60.0,0.0
Acquisition of companies,Cash from Investing Activity,0.0,0.0,0.0,-729.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
Other investing items,Cash from Investing Activity,-135.0,52.0,-158.0,207.0,-340.0,230.0,-33.0,-163.0,95.0,-72.0,-376.0,-832.0
Proceeds from shares,Cash from Financing Activity,0.0,326.0,6.0,2.0,1183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Proceeds from debentures,Cash from Financing Activity,750.0,0.0,750.0,0.0,0.0,0.0,698.0,1000.0,0.0,0.0,1500.0,0.0
Redemption of debentures,Cash from Financing Activity,-99.0,-301.0,-350.0,0.0,0.0,-375.0,-653.0,-420.0,0.0,-586.0,-354.0,-377.0
Proceeds from borrowings,Cash from Financing Activity,0.0,0.0,0.0,831.0,1002.0,1876.0,1948.0,2182.0,2299.0,1044.0,718.0,483.0
Repayment of borrowings,Cash from Financing Activity,0.0,0.0,-18.0,0.0,-1112.0,-1552.0,-1962.0,-1457.0,-1217.0,-1897.0,-1068.0,-586.0
Interest paid fin,Cash from Financing Activity,-55.0,-68.0,-53.0,-100.0,-152.0,-171.0,-148.0,-163.0,-264.0,-304.0,-232.0,-238.0
Dividends paid,Cash from Financing Activity,-77.0,-161.0,0.0,-82.0,-82.0,-88.0,0.0,0.0,-109.0,-291.0,-364.0,-291.0
Other financing items,Cash from Financing Activity,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
