,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,5.0,-14.0,-9.0,-107.0,-130.0,-219.0,209.0,121.0,-10.0,143.0,141.0,104.0
Cash from Investing Activity,,5.0,5.0,-6.0,-19.0,-307.0,199.0,-177.0,-164.0,-38.0,-86.0,-225.0,-167.0
Cash from Financing Activity,,-6.0,10.0,15.0,126.0,457.0,0.0,-22.0,50.0,35.0,-56.0,83.0,67.0
Net Cash Flow,,3.0,0.0,0.0,0.0,20.0,-19.0,10.0,7.0,-13.0,1.0,-1.0,4.0
Free Cash Flow,,8.0,-11.0,-14.0,-116.0,-231.0,-206.0,49.0,54.0,-75.0,64.0,-36.0,-55.0
CFO/OP,,32.0,-62.0,-23.0,-724.0,843.0,-4288.0,1043.0,146.0,6.0,103.0,59.0,46.0
Profit from operations,Cash from Operating Activity,6.0,8.0,21.0,19.0,-15.0,5.0,21.0,86.0,145.0,177.0,266.0,342.0
Receivables,Cash from Operating Activity,-8.0,-13.0,2.0,-52.0,-3.0,-271.0,98.0,-102.0,-265.0,117.0,-180.0,-294.0
Inventory,Cash from Operating Activity,1.0,0.0,-15.0,-40.0,-49.0,31.0,18.0,4.0,-83.0,-74.0,-74.0,43.0
Payables,Cash from Operating Activity,7.0,-5.0,-3.0,15.0,92.0,71.0,-51.0,133.0,166.0,-49.0,277.0,80.0
Loans Advances,Cash from Operating Activity,0.0,0.0,-0.0,-1.0,-90.0,19.0,55.0,9.0,0.0,3.0,0.0,0.0
Other WC items,Cash from Operating Activity,0.0,0.0,-9.0,-41.0,-63.0,-72.0,69.0,-5.0,45.0,-3.0,-133.0,-20.0
Working capital changes,Cash from Operating Activity,-0.0,-18.0,-25.0,-120.0,-113.0,-221.0,190.0,38.0,-137.0,-6.0,-110.0,-191.0
Direct taxes,Cash from Operating Activity,-1.0,-3.0,-4.0,-6.0,-2.0,-2.0,-2.0,-2.0,-18.0,-28.0,-15.0,-47.0
Other operating items,Cash from Operating Activity,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fixed assets purchased,Cash from Investing Activity,0.0,0.0,-5.0,-9.0,-101.0,0.0,-160.0,-68.0,-65.0,-79.0,-177.0,-159.0
Fixed assets sold,Cash from Investing Activity,4.0,3.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
Capital WIP,Cash from Investing Activity,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments purchased,Cash from Investing Activity,0.0,0.0,0.0,0.0,-102.0,0.0,0.0,-0.0,-2.0,-9.0,-62.0,-22.0
Investments sold,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0
Interest received,Cash from Investing Activity,0.0,0.0,1.0,1.0,10.0,22.0,11.0,7.0,9.0,9.0,11.0,11.0
Dividends received,Cash from Investing Activity,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Redemp n Canc of Shares,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
Other investing items,Cash from Investing Activity,1.0,2.0,-2.0,-11.0,-118.0,42.0,-28.0,-103.0,19.0,-7.0,3.0,2.0
