,parent_line_item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,223.0,155.0,199.0,367.0,191.0,329.0
Cash from Investing Activity,,-233.0,-248.0,-234.0,-76.0,-91.0,-333.0
Cash from Financing Activity,,49.0,163.0,1.0,-130.0,-74.0,121.0
Net Cash Flow,,39.0,70.0,-34.0,161.0,26.0,116.0
Free Cash Flow,,86.0,64.0,106.0,299.0,66.0,209.0
CFO/OP,,96.0,72.0,76.0,150.0,74.0,96.0
Profit from operations,Cash from Operating Activity,304.0,403.0,416.0,362.0,389.0,444.0
Receivables,Cash from Operating Activity,-125.0,-191.0,-150.0,65.0,-109.0,56.0
Inventory,Cash from Operating Activity,-5.0,2.0,4.0,1.0,-0.0,1.0
Payables,Cash from Operating Activity,8.0,25.0,16.0,32.0,46.0,-46.0
Other WC items,Cash from Operating Activity,93.0,11.0,12.0,8.0,-49.0,-28.0
Working capital changes,Cash from Operating Activity,-29.0,-153.0,-118.0,105.0,-113.0,-17.0
Interest paid,Cash from Operating Activity,23.0,0.0,0.0,0.0,0.0,0.0
Direct taxes,Cash from Operating Activity,-74.0,-94.0,-100.0,-100.0,-85.0,-98.0
Fixed assets purchased,Cash from Investing Activity,-138.0,-93.0,-98.0,-71.0,-159.0,-120.0
Fixed assets sold,Cash from Investing Activity,1.0,1.0,5.0,4.0,34.0,0.0
Investments purchased,Cash from Investing Activity,0.0,-90.0,-100.0,-89.0,-41.0,-0.0
Investments sold,Cash from Investing Activity,0.0,0.0,0.0,90.0,0.0,0.0
Interest received,Cash from Investing Activity,1.0,0.0,0.0,0.0,24.0,33.0
Dividends received,Cash from Investing Activity,0.0,6.0,16.0,19.0,0.0,0.0
Invest in subsidiaries,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,-238.0
Other investing items,Cash from Investing Activity,-97.0,-73.0,-57.0,-29.0,51.0,-9.0
Proceeds from shares,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,770.0
Proceeds from borrowings,Cash from Financing Activity,72.0,333.0,196.0,271.0,45.0,0.0
Repayment of borrowings,Cash from Financing Activity,0.0,-131.0,-142.0,-329.0,-55.0,-524.0
Interest paid fin,Cash from Financing Activity,-23.0,-38.0,-50.0,-67.0,-55.0,-55.0
Financial liabilities,Cash from Financing Activity,0.0,-2.0,-3.0,-5.0,-8.0,-13.0
Other financing items,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,-57.0
