,parent_line_item,Mar 2015,Mar 2016,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,-334.0,-1405.0,-4476.0,-2377.0,-2082.0,-1236.0,416.0,651.0,-121.0,-743.0
Cash from Investing Activity,,-20.0,-2229.0,1906.0,-1997.0,1934.0,-5484.0,2628.0,338.0,-2031.0,1719.0
Cash from Financing Activity,,459.0,3938.0,2110.0,5160.0,-222.0,8054.0,-1112.0,-22.0,-53.0,-50.0
Net Cash Flow,,104.0,304.0,-460.0,786.0,-371.0,1334.0,1931.0,967.0,-2205.0,926.0
Free Cash Flow,,-372.0,-1515.0,-4651.0,-2563.0,-2270.0,-1741.0,-281.0,-161.0,-438.0,-1211.0
CFO/OP,,93.0,87.0,98.0,88.0,123.0,46.0,-36.0,-81.0,9.0,-142.0
Profit from operations,Cash from Operating Activity,-346.0,-1506.0,-4160.0,-2357.0,-1579.0,-1436.0,-57.0,774.0,-6.0,1167.0
Receivables,Cash from Operating Activity,-46.0,-42.0,225.0,-74.0,-7.0,-319.0,-554.0,-506.0,-26.0,-176.0
Payables,Cash from Operating Activity,0.0,0.0,284.0,-120.0,-3.0,148.0,109.0,-184.0,99.0,151.0
Loans Advances,Cash from Operating Activity,0.0,0.0,-83.0,-53.0,0.0,0.0,0.0,0.0,-93.0,-298.0
Other WC items,Cash from Operating Activity,65.0,244.0,-558.0,254.0,-680.0,519.0,1094.0,675.0,-113.0,-1554.0
Working capital changes,Cash from Operating Activity,19.0,202.0,-132.0,7.0,-690.0,348.0,649.0,-15.0,-133.0,-1877.0
Interest paid,Cash from Operating Activity,-4.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Direct taxes,Cash from Operating Activity,1.0,39.0,-184.0,-26.0,0.0,0.0,0.0,0.0,0.0,-33.0
Advance tax,Cash from Operating Activity,0.0,0.0,0.0,0.0,187.0,-148.0,-176.0,-108.0,18.0,0.0
Other operating items,Cash from Operating Activity,-4.0,-126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fixed assets purchased,Cash from Investing Activity,-38.0,-110.0,-177.0,-191.0,-193.0,-507.0,-705.0,-822.0,-322.0,-479.0
Fixed assets sold,Cash from Investing Activity,0.0,1.0,2.0,4.0,6.0,3.0,8.0,10.0,5.0,11.0
Investments purchased,Cash from Investing Activity,0.0,0.0,-3296.0,-7960.0,-6747.0,-8446.0,-36290.0,-25319.0,-57265.0,-18704.0
Investments sold,Cash from Investing Activity,0.0,0.0,5580.0,7336.0,10049.0,8571.0,35119.0,23442.0,58899.0,18412.0
Interest received,Cash from Investing Activity,3.0,13.0,64.0,38.0,95.0,278.0,308.0,473.0,432.0,767.0
Dividends received,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investment in group cos,Cash from Investing Activity,0.0,0.0,-59.0,-146.0,-9.0,0.0,0.0,0.0,0.0,0.0
Acquisition of companies,Cash from Investing Activity,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inter corporate deposits,Cash from Investing Activity,0.0,0.0,0.0,252.0,0.0,91.0,48.0,1.0,0.0,0.0
Other investing items,Cash from Investing Activity,14.0,-2133.0,-206.0,-1331.0,-1268.0,-5472.0,4138.0,2554.0,-3781.0,1712.0
Proceeds from shares,Cash from Financing Activity,465.12,3984.04,2189.3,5054.0,10.7,8306.7,7.6,29.6,1.6,2.0
Proceeds from borrowings,Cash from Financing Activity,0.0,14.98,0.0,264.6,0.0,0.0,0.0,0.0,0.0,0.0
Repayment of borrowings,Cash from Financing Activity,-0.25,0.0,-3.1,-60.6,-158.2,-43.5,0.0,0.0,0.0,0.0
Interest paid fin,Cash from Financing Activity,0.0,0.0,-31.4,-47.0,-33.9,-38.0,-19.9,-17.9,-14.6,-15.0
Financial liabilities,Cash from Financing Activity,0.0,0.0,-5.0,-29.1,-34.6,-31.6,-44.0,-34.1,-31.8,-37.0
Share application money,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.3,0.0,0.0
Other financing items,Cash from Financing Activity,-5.96,-61.05,-39.3,-22.0,-6.3,-140.1,-1056.1,0.0,-7.9,0.0
