,parent_line_item,Nov 2006,Nov 2007,Nov 2008
Cash from Operating Activity,,123.0,17.0,238.0
Cash from Investing Activity,,7.0,232.0,-79.0
Cash from Financing Activity,,-34.0,-76.0,-95.0
Net Cash Flow,,97.0,173.0,64.0
Free Cash Flow,,120.0,283.0,213.0
CFO/OP,,148.0,-93.0,-446.0
Profit from operations,Cash from Operating Activity,177.0,170.0,162.0
Receivables,Cash from Operating Activity,10.0,1.0,-7.0
Inventory,Cash from Operating Activity,-9.0,3.0,-29.0
Payables,Cash from Operating Activity,17.0,-38.0,29.0
Other WC items,Cash from Operating Activity,-7.0,0.0,0.0
Working capital changes,Cash from Operating Activity,12.0,-33.0,-8.0
Direct taxes,Cash from Operating Activity,-66.0,-113.0,-127.0
Exceptional CF items,Cash from Operating Activity,0.0,-7.0,211.0
Fixed assets purchased,Cash from Investing Activity,-23.0,-14.0,-27.0
Fixed assets sold,Cash from Investing Activity,20.0,280.0,2.0
Investments purchased,Cash from Investing Activity,0.0,-67.0,-108.0
Interest received,Cash from Investing Activity,11.0,33.0,54.0
Interest paid fin,Cash from Financing Activity,-0.0,-0.0,0.0
Dividends paid,Cash from Financing Activity,-34.0,-76.0,-95.0
