,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,42.0,-6.0,98.0,41.0,58.0,-0.0,22.0,45.0,37.0,51.0,-27.0,118.0
Cash from Investing Activity,,-22.0,-50.0,-46.0,-10.0,1.0,-8.0,0.0,-35.0,-52.0,-30.0,-270.0,-163.0
Cash from Financing Activity,,-22.0,54.0,-52.0,-30.0,-44.0,-4.0,-9.0,-22.0,12.0,-10.0,292.0,50.0
Net Cash Flow,,-2.0,-2.0,0.0,1.0,15.0,-12.0,14.0,-12.0,-3.0,11.0,-5.0,5.0
Free Cash Flow,,27.0,-64.0,74.0,29.0,53.0,-6.0,14.0,18.0,-5.0,29.0,-270.0,-40.0
CFO/OP,,191.0,-6.0,208.0,174.0,216.0,8.0,55.0,82.0,77.0,44.0,10.0,64.0
Profit from operations,Cash from Operating Activity,30.0,23.0,49.0,31.0,33.0,45.0,54.0,70.0,61.0,150.0,183.0,245.0
Receivables,Cash from Operating Activity,1.0,-8.0,-3.0,-8.0,-20.0,10.0,-18.0,1.0,-19.0,-67.0,-0.0,-106.0
Inventory,Cash from Operating Activity,-12.0,7.0,-14.0,-17.0,6.0,-21.0,-30.0,4.0,-17.0,-5.0,-107.0,-107.0
Payables,Cash from Operating Activity,0.0,0.0,48.0,51.0,36.0,-34.0,22.0,9.0,12.0,10.0,-12.0,248.0
Loans Advances,Cash from Operating Activity,-11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Operating borrowings,Cash from Operating Activity,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other WC items,Cash from Operating Activity,37.0,-30.0,19.0,-11.0,4.0,3.0,1.0,-27.0,10.0,-22.0,-45.0,-130.0
Working capital changes,Cash from Operating Activity,24.0,-25.0,50.0,15.0,26.0,-42.0,-26.0,-13.0,-14.0,-84.0,-164.0,-96.0
Direct taxes,Cash from Operating Activity,-11.0,-4.0,-1.0,-4.0,-1.0,-3.0,-6.0,-12.0,-10.0,-15.0,-46.0,-32.0
Fixed assets purchased,Cash from Investing Activity,-16.0,-58.0,-24.0,-12.0,-8.0,-6.0,-8.0,-30.0,-42.0,-22.0,-243.0,-158.0
Fixed assets sold,Cash from Investing Activity,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Investments purchased,Cash from Investing Activity,-4.0,6.0,-10.0,0.0,-0.0,-4.0,0.0,0.0,0.0,0.0,0.0,-10.0
Investments sold,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
Interest received,Cash from Investing Activity,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
Loans to subsidiaries,Cash from Investing Activity,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Redemp n Canc of Shares,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Acquisition of companies,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0
Other investing items,Cash from Investing Activity,-2.0,0.0,-12.0,2.0,6.0,1.0,2.0,-8.0,-8.0,-9.0,-32.0,0.0
Proceeds from shares,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Proceeds from debentures,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0,71.0
Proceeds from borrowings,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,11.0,9.0,0.0,26.0,7.0,83.0,3.0
Repayment of borrowings,Cash from Financing Activity,0.0,0.0,-34.0,-14.0,-28.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0
Interest paid fin,Cash from Financing Activity,-8.0,-14.0,-17.0,-16.0,-17.0,-15.0,-16.0,-14.0,-13.0,-16.0,-28.0,-28.0
Dividends paid,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-5.0,-1.0,-2.0,0.0,0.0
Other financing items,Cash from Financing Activity,-14.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
