,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,-12272.0,-12582.0,-15593.0,-18136.0,-8735.0,12576.0,7135.0,8661.0,6723.0,-1928.0,-9772.0,-15892.0
Cash from Investing Activity,,-866.0,24.0,-10930.0,6091.0,6135.0,644.0,-4526.0,764.0,72.0,-816.0,-901.0,2631.0
Cash from Financing Activity,,12643.0,15416.0,26289.0,11173.0,1937.0,-7631.0,-0.0,-8366.0,-9487.0,2773.0,12525.0,12393.0
Net Cash Flow,,-496.0,2858.0,-234.0,-872.0,-663.0,5589.0,2609.0,1060.0,-2691.0,29.0,1852.0,-869.0
Free Cash Flow,,-12315.0,-12710.0,-15693.0,-18319.0,-8820.0,12556.0,7139.0,8615.0,6694.0,-2149.0,-9650.0,-15949.0
CFO/OP,,-220.0,-184.0,-148.0,-188.0,-99.0,-103.0,-36.0,217.0,683.0,-106.0,-178.0,-228.0
Profit from operations,Cash from Operating Activity,1209.0,1257.0,1386.0,1552.0,2364.0,2988.0,8060.0,5149.0,5000.0,4484.0,1689.0,2777.0
Receivables,Cash from Operating Activity,0.0,0.0,0.0,-40.0,38.0,2.0,2.0,0.0,3.0,-40.0,10.0,12.0
Payables,Cash from Operating Activity,0.0,0.0,0.0,56.0,-2.0,19.0,-46.0,111.0,-39.0,63.0,20.0,12.0
Loans Advances,Cash from Operating Activity,0.0,0.0,0.0,0.0,0.0,0.0,-1222.0,3765.0,1865.0,-9172.0,-12546.0,-19969.0
Operating investments,Cash from Operating Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-584.0,-1437.0,2888.0,1296.0,742.0
Other WC items,Cash from Operating Activity,-46.0,645.0,-212.0,2221.0,-2183.0,1465.0,134.0,637.0,929.0,-365.0,-538.0,320.0
Working capital changes,Cash from Operating Activity,-46.0,645.0,-212.0,2237.0,-2147.0,1486.0,-1132.0,3929.0,1321.0,-6625.0,-11758.0,-18882.0
Direct taxes,Cash from Operating Activity,-256.0,-353.0,-857.0,-412.0,-435.0,0.0,0.0,-417.0,0.0,0.0,298.0,213.0
Other operating items,Cash from Operating Activity,-13180.0,-14131.0,-15910.0,-21513.0,-8516.0,8102.0,208.0,0.0,403.0,213.0,0.0,0.0
Fixed assets purchased,Cash from Investing Activity,-42.0,-128.0,-124.0,-184.0,-85.0,-22.0,3.0,-46.0,-145.0,-253.0,-110.0,-116.0
Fixed assets sold,Cash from Investing Activity,0.0,0.0,24.0,0.0,1.0,2.0,0.0,0.0,115.0,31.0,231.0,59.0
Investments purchased,Cash from Investing Activity,-664.0,-94.0,-13028.0,0.0,0.0,0.0,-4761.0,-10155.0,-56026.0,-76635.0,-287897.0,-582555.0
Investments sold,Cash from Investing Activity,0.0,-38.0,2000.0,5957.0,0.0,251.0,128.0,10817.0,56221.0,76271.0,286858.0,583867.0
Investment income,Cash from Investing Activity,109.0,177.0,473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Interest received,Cash from Investing Activity,0.0,0.0,0.0,258.0,246.0,74.0,104.0,10.0,49.0,71.0,104.0,154.0
Dividends received,Cash from Investing Activity,0.0,0.0,0.0,137.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0
Invest in subsidiaries,Cash from Investing Activity,0.0,-75.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investment in group cos,Cash from Investing Activity,0.0,0.0,0.0,-77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other investing items,Cash from Investing Activity,-269.0,182.0,-176.0,0.0,5961.0,340.0,0.0,139.0,-142.0,-300.0,-87.0,1170.0
