,parent_line_item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,13.0,50.0,58.0,93.0,120.0,150.0,161.0,217.0
Cash from Investing Activity,,13.0,-2.0,-28.0,-163.0,-106.0,-139.0,-142.0,-200.0
Cash from Financing Activity,,-9.0,-22.0,-11.0,-10.0,-12.0,-14.0,-18.0,-22.0
Net Cash Flow,,16.0,26.0,19.0,-81.0,3.0,-4.0,0.0,-5.0
Free Cash Flow,,8.0,47.0,56.0,91.0,118.0,145.0,143.0,209.0
CFO/OP,,63.0,127.0,103.0,96.0,83.0,95.0,77.0,93.0
Profit from operations,Cash from Operating Activity,41.0,46.0,61.0,116.0,175.0,195.0,263.0,314.0
Receivables,Cash from Operating Activity,-8.0,37.0,-30.0,-25.0,-10.0,-38.0,-3.0,-42.0
Inventory,Cash from Operating Activity,-1.0,-4.0,-9.0,2.0,3.0,-6.0,-4.0,0.0
Payables,Cash from Operating Activity,-5.0,-18.0,42.0,27.0,-4.0,88.0,-18.0,29.0
Loans Advances,Cash from Operating Activity,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-11.0
Other WC items,Cash from Operating Activity,-1.0,-0.0,8.0,-1.0,-13.0,-39.0,-14.0,-0.0
Working capital changes,Cash from Operating Activity,-16.0,15.0,11.0,3.0,-24.0,6.0,-39.0,-25.0
Direct taxes,Cash from Operating Activity,-13.0,-11.0,-15.0,-25.0,-31.0,-50.0,-63.0,-72.0
Proceeds from borrowings,Cash from Financing Activity,1.16,88.67,10.65,76.0,88.18,26.34,86.0,15.0
Repayment of borrowings,Cash from Financing Activity,-0.34,-103.73,-15.74,-78.6,-88.18,-26.34,-86.0,-15.0
Interest paid fin,Cash from Financing Activity,-3.1,-2.74,-1.71,-2.57,-2.08,-2.09,-2.37,-2.93
Dividends paid,Cash from Financing Activity,-5.47,-0.31,-0.26,-0.31,-4.14,-6.21,-8.28,-10.35
Financial liabilities,Cash from Financing Activity,-2.64,-3.96,-4.3,-4.89,-5.37,-5.7,-7.22,-8.77
Other financing items,Cash from Financing Activity,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
