,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,-497.0,-1281.0,111.0,-1438.0,-108.0,3294.0,2108.0,3049.0,3575.0,2451.0,2132.0,2817.0
Cash from Investing Activity,,-160.0,87.0,-1374.0,249.0,244.0,-414.0,-505.0,46.0,168.0,-519.0,869.0,-824.0
Cash from Financing Activity,,709.0,1124.0,1353.0,1278.0,-408.0,-2570.0,-1085.0,-2788.0,-4019.0,-2042.0,-2165.0,-3428.0
Net Cash Flow,,52.0,-70.0,91.0,89.0,-272.0,309.0,518.0,308.0,-276.0,-110.0,835.0,-1434.0
Free Cash Flow,,-500.0,-1594.0,-1366.0,-1754.0,-111.0,3292.0,2105.0,3040.0,3574.0,2448.0,2127.0,2813.0
CFO/OP,,-29.0,-88.0,28.0,-99.0,9.0,194.0,130.0,193.0,275.0,247.0,211.0,347.0
Profit from operations,Cash from Operating Activity,1050.0,1561.0,1773.0,1767.0,2010.0,2036.0,1938.0,1775.0,1432.0,1191.0,1167.0,756.0
Receivables,Cash from Operating Activity,-432.0,-907.0,400.0,-68.0,-1573.0,-2111.0,810.0,-1004.0,1498.0,-368.0,971.0,363.0
Payables,Cash from Operating Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,603.0
Loans Advances,Cash from Operating Activity,-1009.0,-2206.0,-2097.0,-2298.0,-968.0,2041.0,127.0,1680.0,1125.0,1926.0,600.0,1335.0
Operating investments,Cash from Operating Activity,0.0,0.0,-21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other WC items,Cash from Operating Activity,104.0,572.0,335.0,-548.0,707.0,1569.0,-659.0,598.0,-328.0,-465.0,-550.0,6.0
Working capital changes,Cash from Operating Activity,-1337.0,-2541.0,-1384.0,-2915.0,-1834.0,1499.0,279.0,1274.0,2295.0,1093.0,1021.0,2306.0
Direct taxes,Cash from Operating Activity,-210.0,-301.0,-278.0,-290.0,-284.0,-241.0,-109.0,1.0,-152.0,-189.0,-267.0,-245.0
Exceptional CF items,Cash from Operating Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355.0,211.0,0.0
Fixed assets purchased,Cash from Investing Activity,-3.0,-313.0,-1477.0,-316.0,-3.0,-2.0,-4.0,-10.0,-2.0,-3.0,-5.0,-4.0
Fixed assets sold,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Investments purchased,Cash from Investing Activity,-527.0,157.0,-87.0,0.0,0.0,-181.0,-551.0,0.0,0.0,-20.0,-83.0,-528.0
Investments sold,Cash from Investing Activity,0.0,0.0,0.0,446.0,130.0,0.0,0.0,232.0,468.0,0.0,1176.0,0.0
Interest received,Cash from Investing Activity,32.0,108.0,136.0,120.0,124.0,8.0,14.0,19.0,13.0,24.0,15.0,297.0
Dividends received,Cash from Investing Activity,10.0,28.0,24.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investment in group cos,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0
Other investing items,Cash from Investing Activity,328.0,107.0,29.0,-20.0,-9.0,-226.0,36.0,-195.0,-312.0,-520.0,-234.0,-589.0
Proceeds from borrowings,Cash from Financing Activity,1580.0,2047.0,2858.0,2938.0,1442.0,0.0,223.0,0.0,0.0,0.0,0.0,0.0
Repayment of borrowings,Cash from Financing Activity,-379.0,-186.0,-589.0,-112.0,-455.0,-1236.0,-141.0,-1726.0,-3248.0,-990.0,-1356.0,-1186.0
Interest paid fin,Cash from Financing Activity,-396.0,-575.0,-780.0,-935.0,-1218.0,-1166.0,-930.0,-834.0,-594.0,-422.0,-349.0,-310.0
Dividends paid,Cash from Financing Activity,-96.0,-105.0,-122.0,-147.0,-148.0,-164.0,-232.0,-222.0,-172.0,-253.0,-231.0,-435.0
Financial liabilities,Cash from Financing Activity,0.0,-57.0,-14.0,-31.0,-29.0,-5.0,-4.0,-5.0,-6.0,-5.0,-5.0,-5.0
Other financing items,Cash from Financing Activity,0.0,0.0,0.0,-435.0,0.0,0.0,0.0,0.0,0.0,-371.0,-225.0,-1491.0
