,parent_line_item,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,59.0,270.0,212.0,507.0,833.0
Cash from Investing Activity,,-58.0,-1076.0,-43.0,-1513.0,-3282.0
Cash from Financing Activity,,0.0,848.0,-165.0,1007.0,2755.0
Net Cash Flow,,1.0,42.0,4.0,0.0,306.0
Free Cash Flow,,37.0,124.0,1.0,340.0,494.0
CFO/OP,,69.0,-1354.0,-22.0,256.0,233.0
Profit from operations,Cash from Operating Activity,135.0,95.0,-11.0,312.0,557.0
Receivables,Cash from Operating Activity,-0.0,2.0,-28.0,-19.0,-45.0
Inventory,Cash from Operating Activity,-5.0,-17.0,-27.0,-31.0,-34.0
Payables,Cash from Operating Activity,2.0,38.0,55.0,44.0,61.0
Other WC items,Cash from Operating Activity,-37.0,178.0,228.0,204.0,325.0
Working capital changes,Cash from Operating Activity,-41.0,201.0,229.0,197.0,307.0
Interest paid,Cash from Operating Activity,-2.0,0.0,0.0,0.0,0.0
Direct taxes,Cash from Operating Activity,-33.0,-26.0,-6.0,-2.0,-30.0
Other operating items,Cash from Operating Activity,-0.0,0.0,0.0,0.0,0.0
Fixed assets purchased,Cash from Investing Activity,-22.0,-146.0,-236.0,-167.0,-343.0
Fixed assets sold,Cash from Investing Activity,0.0,0.0,25.0,0.0,4.0
Investments purchased,Cash from Investing Activity,0.0,-358.0,-18.0,-4676.0,-2969.0
Investments sold,Cash from Investing Activity,0.0,0.0,0.0,3523.0,2035.0
Interest received,Cash from Investing Activity,2.0,18.0,42.0,6.0,94.0
Dividends received,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0
Invest in subsidiaries,Cash from Investing Activity,0.0,0.0,0.0,0.0,-57.0
Investment in group cos,Cash from Investing Activity,0.0,0.0,0.0,-5.0,0.0
Acquisition of companies,Cash from Investing Activity,0.0,0.0,0.0,-54.0,0.0
Inter corporate deposits,Cash from Investing Activity,0.0,0.0,0.0,0.0,757.0
Other investing items,Cash from Investing Activity,-38.0,-589.0,144.0,-141.0,-2803.0
Proceeds from shares,Cash from Financing Activity,0.0,791.0,0.0,1268.0,2997.0
Proceeds from borrowings,Cash from Financing Activity,0.0,100.0,0.0,0.0,10.0
Repayment of borrowings,Cash from Financing Activity,0.0,-2.0,-26.0,-72.0,0.0
Interest paid fin,Cash from Financing Activity,0.0,-2.0,-8.0,-74.0,0.0
Financial liabilities,Cash from Financing Activity,0.0,0.0,0.0,-114.0,-252.0
Other financing items,Cash from Financing Activity,0.0,-39.0,-130.0,0.0,0.0
