,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,38.0,-50.0,68.0,109.0,202.0,361.0,715.0,554.0,466.0,529.0,380.0,230.0
Cash from Investing Activity,,-69.0,-10.0,-574.0,-794.0,182.0,-170.0,-105.0,-188.0,4.0,50.0,-333.0,-73.0
Cash from Financing Activity,,80.0,86.0,707.0,948.0,-445.0,13.0,-834.0,-441.0,-443.0,-496.0,-318.0,-237.0
Net Cash Flow,,49.0,27.0,201.0,263.0,-61.0,204.0,-223.0,-75.0,27.0,83.0,-271.0,-80.0
Free Cash Flow,,24.0,-72.0,30.0,24.0,106.0,304.0,654.0,471.0,368.0,431.0,379.0,221.0
CFO/OP,,61.0,-1.0,64.0,52.0,82.0,78.0,123.0,103.0,113.0,96.0,95.0,95.0
Profit from operations,Cash from Operating Activity,138.0,161.0,246.0,374.0,501.0,699.0,597.0,672.0,689.0,818.0,324.0,327.0
Receivables,Cash from Operating Activity,-65.0,-161.0,26.0,-219.0,-187.0,-29.0,42.0,-575.0,-427.0,-283.0,-96.0,-65.0
Inventory,Cash from Operating Activity,0.0,-1.0,-4.0,-1.0,-7.0,-6.0,-0.0,2.0,-1.0,1.0,0.0,0.0
Payables,Cash from Operating Activity,0.0,159.0,-24.0,-3.0,0.0,-78.0,-99.0,-7.0,9.0,20.0,27.0,-31.0
Loans Advances,Cash from Operating Activity,-44.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58.0
Other WC items,Cash from Operating Activity,15.0,-159.0,-87.0,37.0,69.0,-80.0,11.0,550.0,395.0,116.0,-4.0,126.0
Working capital changes,Cash from Operating Activity,-94.0,-162.0,-94.0,-186.0,-125.0,-193.0,-46.0,-31.0,-23.0,-145.0,-73.0,-28.0
Direct taxes,Cash from Operating Activity,-41.0,-48.0,-84.0,-80.0,-175.0,-145.0,165.0,-87.0,-199.0,-144.0,129.0,-68.0
Exceptional CF items,Cash from Operating Activity,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fixed assets purchased,Cash from Investing Activity,-15.0,-23.0,-38.0,-85.0,-96.0,-57.0,-65.0,-85.0,-104.0,-103.0,-2.0,-9.0
Fixed assets sold,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,5.0,5.0,0.0,0.0
Investments purchased,Cash from Investing Activity,-52.0,0.0,0.0,-754.0,0.0,0.0,-19.0,-42.0,0.0,-69.0,0.0,-1275.0
Investments sold,Cash from Investing Activity,0.0,0.0,0.0,573.0,164.0,73.0,4.0,3.0,48.0,28.0,0.0,1224.0
Interest received,Cash from Investing Activity,1.0,1.0,9.0,15.0,15.0,10.0,4.0,7.0,7.0,14.0,5.0,4.0
Dividends received,Cash from Investing Activity,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Loans to subsidiaries,Cash from Investing Activity,0.0,0.0,0.0,-146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investment in group cos,Cash from Investing Activity,0.0,0.0,0.0,0.0,-12.0,0.0,-2.0,-8.0,0.0,0.0,0.0,0.0
Redemp n Canc of Shares,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,14.0,5.0,65.0,67.0,0.0,0.0
Acquisition of companies,Cash from Investing Activity,0.0,11.0,-384.0,-286.0,-30.0,-187.0,0.0,0.0,0.0,0.0,0.0,0.0
Other investing items,Cash from Investing Activity,-3.0,1.0,-162.0,-111.0,141.0,-9.0,-46.0,-70.0,-17.0,109.0,-337.0,-17.0
