,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,26.0,17.0,36.0,48.0,127.0,170.0,143.0,224.0,329.0,321.0,396.0,420.0
Cash from Investing Activity,,-20.0,-107.0,-33.0,-42.0,-117.0,-117.0,-83.0,-175.0,-465.0,-226.0,-268.0,-259.0
Cash from Financing Activity,,-7.0,93.0,-1.0,-7.0,-9.0,-52.0,-61.0,-44.0,143.0,-102.0,-118.0,-147.0
Net Cash Flow,,-1.0,3.0,1.0,-2.0,2.0,2.0,-1.0,4.0,7.0,-7.0,10.0,14.0
Free Cash Flow,,-35.0,-46.0,-21.0,-103.0,42.0,96.0,67.0,162.0,188.0,-32.0,250.0,204.0
CFO/OP,,95.0,88.0,79.0,88.0,94.0,95.0,102.0,93.0,103.0,95.0,97.0,95.0
Profit from operations,Cash from Operating Activity,50.0,35.0,53.0,68.0,151.0,203.0,166.0,308.0,406.0,435.0,490.0,551.0
Receivables,Cash from Operating Activity,-2.0,-2.0,-7.0,-3.0,-18.0,-15.0,-3.0,1.0,-16.0,-16.0,-8.0,-31.0
Inventory,Cash from Operating Activity,-2.0,-1.0,-3.0,1.0,-1.0,-9.0,6.0,-5.0,-4.0,-5.0,-4.0,-14.0
Payables,Cash from Operating Activity,0.0,0.0,8.0,5.0,16.0,15.0,-5.0,15.0,14.0,3.0,10.0,17.0
Other WC items,Cash from Operating Activity,2.0,0.0,-8.0,-9.0,-7.0,-4.0,5.0,-33.0,9.0,-6.0,-7.0,-1.0
Working capital changes,Cash from Operating Activity,-1.0,-2.0,-10.0,-7.0,-10.0,-12.0,3.0,-22.0,4.0,-25.0,-9.0,-30.0
Interest paid,Cash from Operating Activity,-8.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Direct taxes,Cash from Operating Activity,-14.0,-9.0,-8.0,-13.0,-15.0,-20.0,-26.0,-63.0,-81.0,-89.0,-86.0,-102.0
Other operating items,Cash from Operating Activity,-1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fixed assets purchased,Cash from Investing Activity,-61.0,-64.0,-56.0,-151.0,-87.0,-75.0,-76.0,-62.0,-141.0,-354.0,-146.0,-216.0
Fixed assets sold,Cash from Investing Activity,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Investments purchased,Cash from Investing Activity,0.0,0.0,-4.0,0.0,-3.0,-7.0,-8.0,-3.0,-117.0,-869.0,-825.0,-744.0
Investments sold,Cash from Investing Activity,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,82.0,633.0,598.0,941.0
Interest received,Cash from Investing Activity,7.0,8.0,12.0,10.0,5.0,8.0,8.0,5.0,16.0,23.0,22.0,12.0
Dividends received,Cash from Investing Activity,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Acquisition of companies,Cash from Investing Activity,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-203.0
Inter corporate deposits,Cash from Investing Activity,0.0,0.0,0.0,0.0,-1.0,-16.0,-2.0,0.0,0.0,0.0,0.0,0.0
Other investing items,Cash from Investing Activity,32.0,-51.0,15.0,94.0,-31.0,-28.0,-5.0,-116.0,-305.0,340.0,83.0,-49.0
Proceeds from shares,Cash from Financing Activity,1.0,100.0,0.0,0.0,0.0,0.0,0.0,27.0,280.0,1.0,0.0,0.0
Proceeds from borrowings,Cash from Financing Activity,0.0,0.0,13.0,1.0,37.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Repayment of borrowings,Cash from Financing Activity,-3.0,-3.0,-10.0,-3.0,-2.0,-1.0,-9.0,-6.0,-40.0,0.0,0.0,0.0
Interest paid fin,Cash from Financing Activity,-2.0,-2.0,-1.0,-2.0,-1.0,-5.0,-5.0,-5.0,-3.0,0.0,0.0,-78.0
Dividends paid,Cash from Financing Activity,-2.0,-3.0,-3.0,-3.0,-6.0,-17.0,0.0,-9.0,-20.0,-31.0,-30.0,-30.0
Financial liabilities,Cash from Financing Activity,0.0,0.0,0.0,0.0,-37.0,-39.0,-44.0,-52.0,-59.0,-72.0,-87.0,-18.0
Other financing items,Cash from Financing Activity,-0.0,0.0,0.0,0.0,0.0,4.0,-2.0,0.0,-14.0,0.0,0.0,-21.0
