,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,-89.0,463.0,555.0,410.0,164.0,319.0,516.0,310.0,560.0,432.0,637.0,327.0
Cash from Investing Activity,,291.0,-520.0,-56.0,-454.0,139.0,49.0,194.0,62.0,163.0,-315.0,-205.0,126.0
Cash from Financing Activity,,-38.0,39.0,-215.0,-217.0,-279.0,-420.0,-708.0,-376.0,-483.0,-504.0,-405.0,-424.0
Net Cash Flow,,165.0,-18.0,284.0,-261.0,24.0,-52.0,2.0,-5.0,239.0,-387.0,27.0,30.0
Free Cash Flow,,-196.0,269.0,540.0,348.0,12.0,207.0,436.0,168.0,424.0,295.0,505.0,266.0
CFO/OP,,15.0,186.0,208.0,138.0,70.0,80.0,112.0,68.0,98.0,99.0,148.0,79.0
Profit from operations,Cash from Operating Activity,350.0,378.0,428.0,526.0,622.0,760.0,526.0,791.0,807.0,670.0,537.0,595.0
Receivables,Cash from Operating Activity,-53.0,-162.0,51.0,-20.0,-152.0,-245.0,250.0,-161.0,-188.0,0.0,165.0,-198.0
Inventory,Cash from Operating Activity,13.0,-5.0,-37.0,41.0,-96.0,94.0,-279.0,151.0,90.0,41.0,-72.0,41.0
Payables,Cash from Operating Activity,-19.0,1.0,8.0,5.0,119.0,-64.0,161.0,-116.0,121.0,-82.0,145.0,-49.0
Loans Advances,Cash from Operating Activity,22.0,-60.0,0.0,-2.0,-23.0,-88.0,-107.0,14.0,5.0,4.0,-174.0,65.0
Other WC items,Cash from Operating Activity,-268.0,496.0,273.0,41.0,-65.0,71.0,66.0,-185.0,-93.0,21.0,201.0,-16.0
Working capital changes,Cash from Operating Activity,-305.0,270.0,294.0,65.0,-216.0,-232.0,92.0,-296.0,-65.0,-15.0,265.0,-156.0
Direct taxes,Cash from Operating Activity,-140.0,-184.0,-167.0,-181.0,-242.0,-210.0,-102.0,-185.0,-183.0,-223.0,-165.0,-111.0
Exceptional CF items,Cash from Operating Activity,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fixed assets purchased,Cash from Investing Activity,-113.0,-194.0,-21.0,-62.0,-152.0,-113.0,-80.0,-142.0,-136.0,-137.0,-133.0,-62.0
Fixed assets sold,Cash from Investing Activity,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Investments purchased,Cash from Investing Activity,0.0,-20.0,0.0,0.0,0.0,-111.0,-1044.0,-455.0,-110.0,0.0,0.0,0.0
Investments sold,Cash from Investing Activity,1.0,1.0,54.0,57.0,4.0,3.0,1070.0,540.0,186.0,25.0,0.0,12.0
Investment income,Cash from Investing Activity,3.0,1.0,1.0,1.0,1.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0
Interest received,Cash from Investing Activity,101.0,129.0,98.0,112.0,115.0,118.0,90.0,64.0,53.0,73.0,56.0,75.0
Dividends received,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,7.0
Investment in group cos,Cash from Investing Activity,0.0,0.0,-5.0,0.0,-0.0,0.0,-48.0,0.0,0.0,-1.0,0.0,0.0
Other investing items,Cash from Investing Activity,293.0,-437.0,-189.0,-562.0,171.0,152.0,202.0,52.0,168.0,-277.0,-134.0,94.0
Proceeds from borrowings,Cash from Financing Activity,16.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Repayment of borrowings,Cash from Financing Activity,0.0,0.0,0.0,0.0,-8.0,-7.0,-8.0,-8.0,-25.0,0.0,0.0,0.0
Interest paid fin,Cash from Financing Activity,10.0,1.0,-12.0,-9.0,-7.0,-6.0,-5.0,-5.0,-4.0,-3.0,-5.0,-3.0
Dividends paid,Cash from Financing Activity,-53.0,-77.0,-146.0,-148.0,-215.0,-330.0,-366.0,-421.0,-433.0,-457.0,-356.0,-418.0
Financial liabilities,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,-1.0,-5.0,-2.0,-2.0,-2.0,-2.0,-2.0
Other financing items,Cash from Financing Activity,-10.0,-6.0,-57.0,-60.0,-50.0,-75.0,-323.0,60.0,-20.0,-43.0,-42.0,0.0
