,parent_line_item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,3.0,47.0,213.0,154.0,395.0,382.0,449.0,508.0,507.0
Cash from Investing Activity,,-54.0,-335.0,-2.0,-78.0,-692.0,-204.0,-187.0,-337.0,-233.0
Cash from Financing Activity,,19.0,281.0,-208.0,-52.0,313.0,-195.0,-213.0,-211.0,-260.0
Net Cash Flow,,-32.0,-7.0,3.0,25.0,16.0,-17.0,49.0,-39.0,14.0
Free Cash Flow,,-101.0,-128.0,72.0,81.0,110.0,-1.0,64.0,245.0,189.0
CFO/OP,,38.0,130.0,116.0,125.0,132.0,89.0,98.0,107.0,108.0
Profit from operations,Cash from Operating Activity,21.0,51.0,198.0,142.0,344.0,451.0,482.0,494.0,491.0
Receivables,Cash from Operating Activity,-3.0,-18.0,18.0,-3.0,-6.0,-4.0,-16.0,-2.0,2.0
Inventory,Cash from Operating Activity,-14.0,-5.0,-9.0,-3.0,-24.0,-34.0,2.0,2.0,-16.0
Payables,Cash from Operating Activity,28.0,1.0,17.0,13.0,55.0,18.0,14.0,12.0,36.0
Other WC items,Cash from Operating Activity,-26.0,21.0,-7.0,8.0,34.0,-47.0,-31.0,6.0,1.0
Working capital changes,Cash from Operating Activity,-15.0,-0.0,18.0,15.0,59.0,-67.0,-32.0,19.0,23.0
Direct taxes,Cash from Operating Activity,-3.0,-4.0,-3.0,-3.0,-9.0,-2.0,-2.0,-4.0,-7.0
Fixed assets purchased,Cash from Investing Activity,-108.0,-175.0,-143.0,-74.0,-285.0,-384.0,-385.0,-265.0,-320.0
Fixed assets sold,Cash from Investing Activity,4.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0
Investments purchased,Cash from Investing Activity,0.0,0.0,-15.0,-54.0,-657.0,-1211.0,-420.0,-760.0,-590.0
Investments sold,Cash from Investing Activity,0.0,0.0,0.0,44.0,538.0,1302.0,489.0,625.0,735.0
Interest received,Cash from Investing Activity,6.0,2.0,8.0,1.0,1.0,13.0,15.0,10.0,5.0
Other investing items,Cash from Investing Activity,44.0,-163.0,146.0,5.0,-289.0,75.0,114.0,52.0,-65.0
