,parent_line_item,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,1239.0,1566.0,2202.0,1879.0,2080.0,3973.0,4254.0,2668.0,2569.0,3347.0,4920.0,3794.0
Cash from Investing Activity,,-990.0,-1265.0,-2048.0,-3595.0,-720.0,-5590.0,-2651.0,-2143.0,-2405.0,-1418.0,-3726.0,-3714.0
Cash from Financing Activity,,-259.0,-271.0,-167.0,1726.0,-1276.0,1581.0,-1233.0,-849.0,-277.0,-1710.0,-1296.0,-110.0
Net Cash Flow,,-10.0,31.0,-13.0,10.0,84.0,-36.0,370.0,-324.0,-113.0,220.0,-102.0,-30.0
Free Cash Flow,,115.0,832.0,922.0,-648.0,158.0,2433.0,3125.0,459.0,-710.0,178.0,837.0,1979.0
CFO/OP,,99.0,121.0,99.0,96.0,83.0,118.0,122.0,77.0,98.0,84.0,136.0,89.0
Profit from operations,Cash from Operating Activity,1351.0,1884.0,2542.0,2499.0,2961.0,3767.0,4106.0,3717.0,2954.0,4517.0,3950.0,4696.0
Receivables,Cash from Operating Activity,-333.0,-281.0,17.0,-510.0,-356.0,56.0,417.0,-100.0,-606.0,-456.0,-43.0,-613.0
Inventory,Cash from Operating Activity,-104.0,104.0,-499.0,-255.0,-62.0,181.0,-9.0,-772.0,-235.0,-790.0,1120.0,-296.0
Payables,Cash from Operating Activity,415.0,3.0,432.0,651.0,-232.0,455.0,485.0,24.0,790.0,522.0,328.0,353.0
Working capital changes,Cash from Operating Activity,-22.0,-175.0,-51.0,-113.0,-650.0,693.0,893.0,-848.0,-52.0,-725.0,1406.0,-556.0
Direct taxes,Cash from Operating Activity,-91.0,-143.0,-289.0,-507.0,-230.0,-486.0,-745.0,-201.0,-333.0,-444.0,-436.0,-346.0
Fixed assets purchased,Cash from Investing Activity,-1125.0,-736.0,-1281.0,-2528.0,-1936.0,-1545.0,-1135.0,-2218.0,-3314.0,-3200.0,-4105.0,-1909.0
Fixed assets sold,Cash from Investing Activity,1.0,2.0,2.0,2.0,14.0,4.0,5.0,9.0,35.0,31.0,21.0,94.0
Investments purchased,Cash from Investing Activity,0.0,-926.0,-1494.0,-2747.0,0.0,-4190.0,-2864.0,-1149.0,-97.0,-236.0,-989.0,-2684.0
Investments sold,Cash from Investing Activity,572.0,267.0,370.0,914.0,2987.0,157.0,890.0,812.0,586.0,1658.0,1095.0,635.0
Interest received,Cash from Investing Activity,58.0,47.0,367.0,672.0,191.0,149.0,209.0,297.0,357.0,344.0,240.0,222.0
Dividends received,Cash from Investing Activity,19.0,41.0,38.0,96.0,59.0,44.0,9.0,6.0,6.0,6.0,2.0,0.0
Invest in subsidiaries,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
Loans to subsidiaries,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,-17.0,-21.0,0.0,0.0,0.0,0.0
Redemp n Canc of Shares,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Acquisition of companies,Cash from Investing Activity,-358.0,0.0,0.0,0.0,-2008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other investing items,Cash from Investing Activity,-158.0,41.0,-48.0,-4.0,-27.0,-211.0,251.0,122.0,22.0,-22.0,9.0,-73.0
Proceeds from shares,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,2383.0,0.0,0.0,0.0,0.0,0.0,0.0
Proceeds from borrowings,Cash from Financing Activity,255.0,278.0,638.0,2699.0,298.0,305.0,0.0,322.0,906.0,719.0,25.0,771.0
Repayment of borrowings,Cash from Financing Activity,-538.0,-300.0,-192.0,-660.0,-1056.0,-142.0,-899.0,-479.0,-452.0,-1681.0,-622.0,0.0
Investment subsidy,Cash from Financing Activity,239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Interest paid fin,Cash from Financing Activity,-125.0,-89.0,-128.0,-125.0,-276.0,-289.0,-254.0,-209.0,-259.0,-220.0,-190.0,-193.0
Dividends paid,Cash from Financing Activity,-89.0,-159.0,-485.0,-184.0,-241.0,-628.0,-11.0,-384.0,-325.0,-379.0,-380.0,-505.0
Financial liabilities,Cash from Financing Activity,0.0,0.0,0.0,-4.0,-2.0,-45.0,-62.0,-98.0,-148.0,-149.0,-127.0,-182.0
Other financing items,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,-2.0,-7.0,-1.0,-1.0,-0.0,-1.0,-0.0
