,parent_line_item,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,-69.0,-429.0,-360.0,-239.0
Cash from Investing Activity,,-548.0,392.0,158.0,-23.0
Cash from Financing Activity,,617.0,42.0,199.0,261.0
Net Cash Flow,,-1.0,5.0,-3.0,-1.0
Free Cash Flow,,-84.0,-455.0,-370.0,-262.0
CFO/OP,,35.0,106.0,114.0,-17.0
Profit from operations,Cash from Operating Activity,-216.0,-398.0,-322.0,1594.0
Receivables,Cash from Operating Activity,-5.0,15.0,-0.0,8.0
Payables,Cash from Operating Activity,77.0,-6.0,-29.0,-18.0
Other WC items,Cash from Operating Activity,69.0,-37.0,-17.0,-1855.0
Working capital changes,Cash from Operating Activity,141.0,-27.0,-47.0,-1865.0
Direct taxes,Cash from Operating Activity,5.0,-4.0,9.0,32.0
Fixed assets purchased,Cash from Investing Activity,-15.39,-26.51,-10.34,-23.83
Fixed assets sold,Cash from Investing Activity,0.47,0.49,0.59,0.3
Investments purchased,Cash from Investing Activity,-274.24,0.0,0.0,0.0
Investments sold,Cash from Investing Activity,0.0,284.19,2.86,0.0
Interest received,Cash from Investing Activity,1.87,22.37,14.55,0.03
Other investing items,Cash from Investing Activity,-260.99,110.99,150.01,0.08
Proceeds from shares,Cash from Financing Activity,703.0,0.0,0.0,0.0
Proceeds from borrowings,Cash from Financing Activity,225.0,64.0,580.0,2116.0
Repayment of borrowings,Cash from Financing Activity,-299.0,-17.0,-369.0,-1818.0
Interest paid fin,Cash from Financing Activity,-8.0,-2.0,-8.0,-34.0
Financial liabilities,Cash from Financing Activity,-3.0,-3.0,-4.0,-2.0
