,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,5616.0,6686.0,7082.0,3907.0,2196.0,6555.0,6170.0,8985.0,4959.0,12135.0,14072.0,12419.0
Cash from Investing Activity,,-1502.0,-3949.0,-4186.0,-3104.0,-310.0,-2225.0,407.0,-5556.0,-7220.0,-763.0,-5183.0,-10405.0
Cash from Financing Activity,,-1187.0,-1889.0,-2285.0,-1539.0,-2731.0,-5715.0,-5980.0,-5193.0,2376.0,-6710.0,-7906.0,-2513.0
Net Cash Flow,,2927.0,848.0,611.0,-736.0,-844.0,-1386.0,596.0,-1765.0,115.0,4662.0,983.0,-498.0
Free Cash Flow,,3316.0,3353.0,3492.0,2013.0,-966.0,5105.0,5097.0,7550.0,2895.0,9964.0,12005.0,8906.0
CFO/OP,,93.0,106.0,90.0,83.0,48.0,113.0,85.0,78.0,56.0,105.0,96.0,89.0
Profit from operations,Cash from Operating Activity,7177.0,8428.0,9549.0,4861.0,5779.0,7002.0,4609.0,6456.0,12131.0,12642.0,14872.0,16001.0
Receivables,Cash from Operating Activity,-1046.0,-1810.0,-293.0,-773.0,-858.0,-374.0,94.0,-1342.0,-953.0,353.0,-1602.0,-2009.0
Inventory,Cash from Operating Activity,190.0,-167.0,-345.0,-4.0,-709.0,257.0,-1080.0,307.0,-1202.0,599.0,-184.0,-52.0
Payables,Cash from Operating Activity,341.0,362.0,735.0,383.0,-854.0,-210.0,381.0,370.0,1182.0,250.0,528.0,1057.0
Loans Advances,Cash from Operating Activity,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other WC items,Cash from Operating Activity,667.0,1861.0,-506.0,182.0,-275.0,1226.0,3169.0,2224.0,-4689.0,-139.0,934.0,-264.0
Working capital changes,Cash from Operating Activity,180.0,247.0,-409.0,-212.0,-2696.0,899.0,2564.0,1559.0,-5662.0,1062.0,-324.0,-1268.0
Direct taxes,Cash from Operating Activity,-1740.0,-1988.0,-2057.0,-742.0,-886.0,-1346.0,-1003.0,969.0,-1510.0,-1569.0,-477.0,-2314.0
Fixed assets purchased,Cash from Investing Activity,-2350.0,-3404.0,-3693.0,-1961.0,-3213.0,-1542.0,-1170.0,-1495.0,-2086.0,-2202.0,-2129.0,-3609.0
Fixed assets sold,Cash from Investing Activity,50.0,71.0,102.0,66.0,50.0,92.0,97.0,61.0,21.0,31.0,61.0,96.0
Investments purchased,Cash from Investing Activity,-28802.0,-40122.0,-38831.0,-40587.0,-35396.0,-33445.0,-18542.0,-24135.0,-21809.0,-29004.0,-32263.0,-30632.0
Investments sold,Cash from Investing Activity,28841.0,41641.0,39194.0,34992.0,35207.0,31894.0,19709.0,20702.0,20897.0,30094.0,29418.0,26167.0
Interest received,Cash from Investing Activity,289.0,338.0,337.0,510.0,684.0,338.0,72.0,76.0,318.0,613.0,804.0,705.0
Dividends received,Cash from Investing Activity,0.0,50.0,42.0,37.0,22.0,56.0,138.0,134.0,132.0,99.0,66.0,59.0
Investment in group cos,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.0,-155.0,-87.0,-46.0,-172.0
Redemp n Canc of Shares,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0
Acquisition of companies,Cash from Investing Activity,0.0,-1026.0,-167.0,-86.0,-23.0,0.0,-62.0,-740.0,-4686.0,-143.0,-273.0,-3405.0
Other investing items,Cash from Investing Activity,470.0,-1499.0,-1170.0,3923.0,2357.0,382.0,165.0,-167.0,148.0,-164.0,-821.0,386.0
