,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,1162.0,1299.0,1296.0,1371.0,1824.0,1656.0,1464.0,1634.0,2096.0,2171.0,1663.0,1802.0
Cash from Investing Activity,,-518.0,-401.0,-716.0,-1294.0,-1113.0,-406.0,-1152.0,-1026.0,-1553.0,-1313.0,-1064.0,-1311.0
Cash from Financing Activity,,-635.0,-737.0,-475.0,-475.0,-596.0,-1222.0,-249.0,-603.0,-631.0,-697.0,-618.0,-525.0
Net Cash Flow,,9.0,160.0,104.0,-398.0,115.0,27.0,63.0,5.0,-88.0,161.0,-19.0,-35.0
Free Cash Flow,,723.0,1259.0,763.0,856.0,1270.0,996.0,1235.0,504.0,1775.0,1660.0,1280.0,-409.0
CFO/OP,,92.0,145.0,101.0,96.0,98.0,92.0,97.0,102.0,112.0,106.0,105.0,105.0
Profit from operations,Cash from Operating Activity,1698.0,1773.0,1823.0,2035.0,2627.0,2338.0,2143.0,2383.0,2421.0,2651.0,2164.0,2252.0
Receivables,Cash from Operating Activity,-135.0,-76.0,-16.0,-314.0,-66.0,-267.0,-126.0,-79.0,19.0,248.0,51.0,-228.0
Inventory,Cash from Operating Activity,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Payables,Cash from Operating Activity,24.0,46.0,22.0,198.0,73.0,18.0,19.0,55.0,190.0,36.0,-6.0,247.0
Loans Advances,Cash from Operating Activity,-4.0,4.0,-33.0,24.0,-8.0,11.0,4.0,-9.0,23.0,-141.0,28.0,-32.0
Other WC items,Cash from Operating Activity,-37.0,21.0,-2.0,-20.0,-65.0,-12.0,-37.0,-22.0,23.0,-3.0,-9.0,53.0
Working capital changes,Cash from Operating Activity,-152.0,-6.0,-29.0,-110.0,-66.0,-249.0,-141.0,-55.0,255.0,139.0,64.0,40.0
Direct taxes,Cash from Operating Activity,-384.0,-468.0,-498.0,-554.0,-737.0,-433.0,-538.0,-695.0,-581.0,-619.0,-565.0,-491.0
Fixed assets purchased,Cash from Investing Activity,-440.0,-40.0,-793.0,-518.0,-555.0,-660.0,-234.0,-1130.0,-570.0,-511.0,-384.0,-2130.0
Fixed assets sold,Cash from Investing Activity,1.0,0.0,261.0,3.0,1.0,1.0,5.0,0.0,250.0,0.0,0.0,4.0
Capital WIP,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-84.0
Investments purchased,Cash from Investing Activity,-515.0,-685.0,-2034.0,-2221.0,-1942.0,-1604.0,-1650.0,-1245.0,-4527.0,-5220.0,-4311.0,-3287.0
Investments sold,Cash from Investing Activity,494.0,728.0,1570.0,1304.0,1377.0,1717.0,889.0,1153.0,2712.0,3950.0,3376.0,3962.0
Interest received,Cash from Investing Activity,66.0,73.0,67.0,40.0,35.0,46.0,68.0,110.0,187.0,197.0,237.0,229.0
Dividends received,Cash from Investing Activity,16.0,12.0,31.0,36.0,67.0,176.0,85.0,117.0,0.0,0.0,0.0,0.0
Investment in group cos,Cash from Investing Activity,0.0,-158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other investing items,Cash from Investing Activity,-141.0,-332.0,182.0,62.0,-96.0,-81.0,-314.0,-30.0,395.0,271.0,18.0,-6.0
Proceeds from borrowings,Cash from Financing Activity,0.0,1176.0,314.0,100.0,253.0,280.0,37.0,320.0,30.0,20.0,0.0,0.0
Repayment of borrowings,Cash from Financing Activity,0.0,-1176.0,-314.0,-100.0,-253.0,-280.0,-37.0,-320.0,-30.0,-20.0,0.0,0.0
Interest paid fin,Cash from Financing Activity,-2.0,-2.0,-1.0,-1.0,-2.0,-1.0,-16.0,-24.0,-1.0,-2.0,-0.0,-1.0
Dividends paid,Cash from Financing Activity,-532.0,-611.0,-394.0,-394.0,-493.0,-985.0,-197.0,-542.0,-591.0,-660.0,-591.0,-493.0
Financial liabilities,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,-34.0,-36.0,-36.0,-38.0,-35.0,-26.0,-31.0
Other financing items,Cash from Financing Activity,-101.0,-124.0,-80.0,-80.0,-101.0,-203.0,0.0,0.0,0.0,0.0,0.0,0.0
