,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,51.0,93.0,72.0,32.0,-30.0,239.0,561.0,486.0,247.0,590.0,642.0,574.0
Cash from Investing Activity,,-40.0,-73.0,-5.0,-5.0,-54.0,-126.0,-10.0,-111.0,-70.0,-484.0,-220.0,48.0
Cash from Financing Activity,,0.0,6.0,15.0,5.0,74.0,-67.0,-168.0,-97.0,-328.0,-151.0,-208.0,-375.0
Net Cash Flow,,11.0,26.0,82.0,32.0,-10.0,46.0,384.0,278.0,-151.0,-44.0,214.0,247.0
Free Cash Flow,,9.0,19.0,65.0,23.0,-18.0,102.0,530.0,425.0,91.0,434.0,514.0,477.0
CFO/OP,,66.0,133.0,127.0,49.0,-32.0,154.0,142.0,86.0,66.0,94.0,106.0,102.0
Profit from operations,Cash from Operating Activity,76.0,82.0,59.0,68.0,102.0,235.0,439.0,725.0,625.0,753.0,700.0,777.0
Receivables,Cash from Operating Activity,-109.0,-58.0,-31.0,-153.0,-130.0,-18.0,-47.0,-194.0,-10.0,-146.0,-0.0,-173.0
Inventory,Cash from Operating Activity,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Payables,Cash from Operating Activity,41.0,37.0,35.0,114.0,62.0,78.0,226.0,144.0,-182.0,7.0,110.0,104.0
Loans Advances,Cash from Operating Activity,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other WC items,Cash from Operating Activity,0.0,31.0,9.0,3.0,-65.0,-12.0,1.0,-72.0,-43.0,81.0,-78.0,28.0
Working capital changes,Cash from Operating Activity,-25.0,11.0,13.0,-35.0,-133.0,49.0,179.0,-122.0,-235.0,-59.0,31.0,-40.0
Direct taxes,Cash from Operating Activity,0.0,0.0,0.0,0.0,0.0,-45.0,-56.0,-116.0,-143.0,-104.0,-89.0,-163.0
Fixed assets purchased,Cash from Investing Activity,0.0,-73.0,-7.0,-9.0,0.0,-211.0,-32.0,-62.0,-156.0,-159.0,-128.0,-98.0
Fixed assets sold,Cash from Investing Activity,0.0,0.0,0.0,0.0,12.0,74.0,0.0,0.0,0.0,3.0,0.0,0.0
Capital WIP,Cash from Investing Activity,-42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments purchased,Cash from Investing Activity,0.0,0.0,0.0,0.0,-74.0,0.0,0.0,0.0,0.0,0.0,-763.0,-10.0
Investments sold,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,651.0,107.0
Interest received,Cash from Investing Activity,5.0,0.0,2.0,4.0,10.0,11.0,22.0,11.0,26.0,15.0,13.0,31.0
Acquisition of companies,Cash from Investing Activity,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other investing items,Cash from Investing Activity,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,-60.0,60.0,-343.0,6.0,17.0
Proceeds from shares,Cash from Financing Activity,0.0,0.0,0.0,0.0,18.0,1.0,18.0,1.0,0.0,0.0,0.0,0.0
Proceeds from debentures,Cash from Financing Activity,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Proceeds from borrowings,Cash from Financing Activity,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Repayment of borrowings,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,-60.0,0.0,0.0,0.0,-5.0,0.0,0.0
Interest paid fin,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-6.0,-6.0,-4.0
Dividends paid,Cash from Financing Activity,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,-109.0,-134.0,-161.0,-160.0
Financial liabilities,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,-2.0,-7.0,-3.0,-7.0,-5.0,-11.0,-13.0
Share application money,Cash from Financing Activity,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other financing items,Cash from Financing Activity,0.0,8.0,13.0,9.0,-4.0,-6.0,-180.0,-95.0,-212.0,0.0,-30.0,-198.0
