,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,76.0,127.0,150.0,239.0,-82.0,1.0,158.0,-17.0,-380.0,-2036.0,-491.0,135.0
Cash from Investing Activity,,-29.0,-50.0,-140.0,-213.0,-104.0,71.0,-167.0,-828.0,-581.0,430.0,-655.0,-761.0
Cash from Financing Activity,,-40.0,-41.0,-28.0,157.0,-11.0,-22.0,-3.0,839.0,999.0,1713.0,1286.0,397.0
Net Cash Flow,,8.0,37.0,-18.0,183.0,-197.0,50.0,-13.0,-6.0,38.0,107.0,139.0,-229.0
Free Cash Flow,,37.0,82.0,98.0,171.0,-162.0,-92.0,75.0,-135.0,-629.0,-2445.0,-1143.0,-749.0
CFO/OP,,115.0,115.0,95.0,178.0,-29.0,-13.0,304.0,58.0,-2788.0,-757.0,-31.0,-23.0
Profit from operations,Cash from Operating Activity,92.0,128.0,187.0,170.0,226.0,25.0,83.0,26.0,43.0,376.0,1382.0,-583.0
Receivables,Cash from Operating Activity,-26.0,-35.0,-24.0,82.0,-359.0,196.0,22.0,36.0,-169.0,-969.0,-3471.0,1556.0
Inventory,Cash from Operating Activity,-12.0,-11.0,50.0,-9.0,10.0,-71.0,38.0,-64.0,-354.0,-3091.0,1371.0,-71.0
Payables,Cash from Operating Activity,-2.0,61.0,-56.0,-2.0,57.0,-89.0,18.0,19.0,177.0,1536.0,-651.0,-710.0
Loans Advances,Cash from Operating Activity,8.0,-2.0,-1.0,15.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0
Other WC items,Cash from Operating Activity,19.0,-12.0,1.0,18.0,8.0,-49.0,1.0,-63.0,-88.0,134.0,984.0,-33.0
Working capital changes,Cash from Operating Activity,-14.0,1.0,-30.0,103.0,-284.0,-14.0,79.0,-73.0,-435.0,-2389.0,-1767.0,742.0
Direct taxes,Cash from Operating Activity,-2.0,-2.0,-6.0,-33.0,-24.0,-11.0,-5.0,29.0,11.0,-23.0,-106.0,-24.0
Exceptional CF items,Cash from Operating Activity,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fixed assets purchased,Cash from Investing Activity,-39.0,-46.0,-52.0,-68.0,-80.0,-93.0,-83.0,-117.0,-249.0,-408.0,-651.0,-884.0
Fixed assets sold,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments purchased,Cash from Investing Activity,0.0,0.0,0.0,-485.0,-776.0,-727.0,-555.0,-2370.0,-3963.0,-3100.0,-4304.0,-3083.0
Investments sold,Cash from Investing Activity,0.0,0.0,0.0,412.0,771.0,767.0,571.0,2014.0,4122.0,3051.0,4195.0,3226.0
Interest received,Cash from Investing Activity,3.0,4.0,6.0,16.0,21.0,21.0,10.0,24.0,52.0,44.0,4.0,2.0
Dividends received,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Invest in subsidiaries,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-240.0,0.0,0.0,0.0
Other investing items,Cash from Investing Activity,7.0,-8.0,-94.0,-88.0,-39.0,103.0,-111.0,-379.0,-303.0,844.0,101.0,-22.0
Proceeds from shares,Cash from Financing Activity,25.0,0.0,100.0,468.0,7.0,3.0,6.0,511.0,1021.0,10.0,4.0,3.0
Proceeds from borrowings,Cash from Financing Activity,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1917.0,7221.0,9894.0
Repayment of borrowings,Cash from Financing Activity,-16.0,-0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-191.0,-5704.0,-9119.0
Interest paid fin,Cash from Financing Activity,-48.0,-49.0,-32.0,-14.0,-17.0,-7.0,-3.0,-3.0,-15.0,-18.0,-224.0,-325.0
Dividends paid,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,-11.0,0.0,0.0,0.0,0.0,0.0,-44.0
Financial liabilities,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,-6.0,-6.0,-6.0,-7.0,-6.0,-7.0,-11.0
Other financing items,Cash from Financing Activity,0.0,0.0,-96.0,-297.0,0.0,0.0,0.0,338.0,0.0,0.0,-4.0,-1.0
