,parent_line_item,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,-84.0,-34.0,-175.0,4.0,10.0,40.0,27.0,-103.0,96.0,-47.0,363.0
Cash from Investing Activity,,77.0,40.0,161.0,38.0,-101.0,-21.0,18.0,-73.0,-633.0,-96.0,-231.0
Cash from Financing Activity,,18.0,-15.0,18.0,-47.0,96.0,-13.0,-12.0,151.0,533.0,172.0,-101.0
Net Cash Flow,,10.0,-9.0,3.0,-5.0,6.0,6.0,33.0,-25.0,-4.0,30.0,31.0
Free Cash Flow,,-108.0,-94.0,-205.0,-57.0,-69.0,32.0,11.0,-156.0,14.0,-579.0,196.0
CFO/OP,,-171.0,-26.0,-253.0,17.0,17.0,42.0,35.0,-67.0,32.0,-0.0,107.0
Profit from operations,Cash from Operating Activity,52.0,68.0,88.0,179.0,171.0,139.0,160.0,170.0,323.0,534.0,408.0
Receivables,Cash from Operating Activity,-192.0,-160.0,-320.0,-270.0,-36.0,48.0,37.0,-337.0,-208.0,-430.0,80.0
Inventory,Cash from Operating Activity,-46.0,121.0,-59.0,-159.0,-87.0,228.0,-52.0,-315.0,-47.0,-128.0,-16.0
Payables,Cash from Operating Activity,100.0,-48.0,130.0,278.0,130.0,-365.0,-97.0,384.0,17.0,23.0,-51.0
Working capital changes,Cash from Operating Activity,-138.0,-87.0,-249.0,-151.0,6.0,-89.0,-111.0,-268.0,-238.0,-536.0,13.0
Direct taxes,Cash from Operating Activity,1.0,-15.0,-14.0,-24.0,-17.0,-9.0,-22.0,-5.0,12.0,-44.0,-56.0
Other operating items,Cash from Operating Activity,0.0,0.0,0.0,0.0,-150.0,0.0,0.0,0.0,0.0,0.0,-3.0
Fixed assets purchased,Cash from Investing Activity,-24.0,-60.0,-29.0,-62.0,-79.0,-8.0,-16.0,-53.0,-82.0,-533.0,-167.0
Investments purchased,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.0,-299.0,0.0,-88.0
Investments sold,Cash from Investing Activity,86.0,78.0,164.0,116.0,38.0,1.0,74.0,0.0,0.0,162.0,0.0
Investment income,Cash from Investing Activity,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Interest received,Cash from Investing Activity,7.0,13.0,2.0,6.0,1.0,0.0,0.0,22.0,15.0,16.0,10.0
Dividends received,Cash from Investing Activity,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0
Inter corporate deposits,Cash from Investing Activity,-34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other investing items,Cash from Investing Activity,40.0,-25.0,24.0,-23.0,-62.0,-14.0,-42.0,-23.0,-267.0,258.0,14.0
Proceeds from shares,Cash from Financing Activity,1.0,1.0,2.0,1.0,0.0,79.0,161.0,0.0,1031.0,0.0,143.0
Proceeds from borrowings,Cash from Financing Activity,12.0,42.0,88.0,29.0,200.0,30.0,12.0,273.0,78.0,296.0,0.0
Repayment of borrowings,Cash from Financing Activity,56.0,-7.0,0.0,0.0,0.0,-19.0,-81.0,0.0,-431.0,0.0,-52.0
Interest paid fin,Cash from Financing Activity,-44.0,-44.0,-65.0,-70.0,-94.0,-100.0,-101.0,-118.0,-138.0,-137.0,-123.0
Dividends paid,Cash from Financing Activity,-5.0,-5.0,-5.0,-6.0,-8.0,-2.0,-3.0,-3.0,-5.0,-20.0,-30.0
Financial liabilities,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-3.0,-1.0,-3.0
Other financing items,Cash from Financing Activity,-1.0,-1.0,-1.0,-1.0,-2.0,0.0,0.0,0.0,0.0,34.0,-36.0
