,parent_line_item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,147.0,58.0,62.0,19.0,30.0,100.0,132.0,188.0,266.0
Cash from Investing Activity,,-146.0,-30.0,-11.0,-10.0,-345.0,-25.0,136.0,-144.0,-159.0
Cash from Financing Activity,,-1.0,-28.0,-46.0,-8.0,319.0,-73.0,-103.0,-211.0,-50.0
Net Cash Flow,,1.0,1.0,5.0,1.0,3.0,2.0,166.0,-167.0,57.0
Free Cash Flow,,146.0,80.0,60.0,18.0,30.0,82.0,131.0,187.0,263.0
CFO/OP,,735.0,173.0,218.0,221.0,173.0,250.0,69.0,195.0,149.0
Profit from operations,Cash from Operating Activity,62.0,76.0,64.0,19.0,38.0,121.0,165.0,224.0,306.0
Receivables,Cash from Operating Activity,-5.0,-2.0,3.0,2.0,0.0,-2.0,1.0,2.0,4.0
Inventory,Cash from Operating Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
Payables,Cash from Operating Activity,1.0,-1.0,-0.0,-0.0,-0.0,0.0,-1.0,0.0,6.0
Loans Advances,Cash from Operating Activity,-1.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
Other WC items,Cash from Operating Activity,97.0,-4.0,1.0,2.0,3.0,-4.0,2.0,-0.0,-34.0
Working capital changes,Cash from Operating Activity,91.0,-6.0,3.0,4.0,3.0,-5.0,3.0,2.0,-3.0
Direct taxes,Cash from Operating Activity,-6.0,-12.0,-5.0,-4.0,-11.0,-15.0,-36.0,-37.0,-37.0
Fixed assets purchased,Cash from Investing Activity,-1.0,-1.0,-2.0,-1.0,-0.0,-18.0,-0.0,-1.0,-9.0
Fixed assets sold,Cash from Investing Activity,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Investments purchased,Cash from Investing Activity,-145.0,-51.0,-9.0,-133.0,-345.0,-231.0,-222.0,-192.0,-307.0
Investments sold,Cash from Investing Activity,0.0,0.0,0.0,124.0,0.0,223.0,374.0,73.0,215.0
Interest received,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0
Other investing items,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,-18.0,-27.0,-66.0
