,parent_line_item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,83.0,67.0,698.0,1560.0,2305.0,3158.0,1627.0
Cash from Investing Activity,,-22.0,-250.0,-673.0,-2088.0,-3346.0,-6806.0,-3953.0
Cash from Financing Activity,,-50.0,161.0,101.0,642.0,909.0,4036.0,2573.0
Net Cash Flow,,12.0,-21.0,126.0,114.0,-132.0,388.0,247.0
Free Cash Flow,,32.0,-35.0,202.0,698.0,968.0,-114.0,-3209.0
CFO/OP,,102.0,105.0,683.0,199.0,168.0,143.0,47.0
Profit from operations,Cash from Operating Activity,118.0,107.0,191.0,941.0,2049.0,2744.0,5916.0
Receivables,Cash from Operating Activity,86.0,22.0,21.0,-215.0,-670.0,-223.0,-1425.0
Inventory,Cash from Operating Activity,-143.0,-99.0,-170.0,-2171.0,123.0,-107.0,-3164.0
Payables,Cash from Operating Activity,-12.0,78.0,178.0,1073.0,-6.0,557.0,1014.0
Operating Deposits,Cash from Operating Activity,0.0,-3.0,0.0,0.0,0.0,0.0,-41.0
Other WC items,Cash from Operating Activity,46.0,-17.0,504.0,2032.0,1144.0,930.0,476.0
Working capital changes,Cash from Operating Activity,-23.0,-18.0,533.0,720.0,592.0,1157.0,-3140.0
Direct taxes,Cash from Operating Activity,-11.0,-22.0,-26.0,-100.0,-335.0,-743.0,-1149.0
Fixed assets purchased,Cash from Investing Activity,-16.0,-70.0,-496.0,-865.0,-1342.0,-3274.0,-4882.0
Fixed assets sold,Cash from Investing Activity,0.0,0.0,1.0,4.0,5.0,1.0,46.0
Capital WIP,Cash from Investing Activity,-35.0,-33.0,0.0,0.0,0.0,0.0,0.0
Investments purchased,Cash from Investing Activity,-0.0,-50.0,-161.0,0.0,-1913.0,-5128.0,-5533.0
Investments sold,Cash from Investing Activity,0.0,21.0,31.0,109.0,1906.0,5151.0,4688.0
Interest received,Cash from Investing Activity,13.0,17.0,9.0,30.0,125.0,298.0,543.0
Redemp n Canc of Shares,Cash from Investing Activity,0.0,0.0,42.0,0.0,0.0,0.0,0.0
Acquisition of companies,Cash from Investing Activity,-20.0,-2.0,0.0,0.0,0.0,0.0,0.0
Other investing items,Cash from Investing Activity,37.0,-133.0,-98.0,-1365.0,-2126.0,-3854.0,1184.0
Proceeds from shares,Cash from Financing Activity,0.0,0.0,0.0,1040.0,1004.0,3508.0,1540.0
Proceeds from borrowings,Cash from Financing Activity,0.0,184.0,141.0,16.0,779.0,809.0,7669.0
Repayment of borrowings,Cash from Financing Activity,-21.0,0.0,0.0,-167.0,-738.0,-187.0,-6116.0
Interest paid fin,Cash from Financing Activity,-25.0,-23.0,-29.0,-69.0,-121.0,-71.0,-161.0
Dividends paid,Cash from Financing Activity,0.0,0.0,-0.0,-0.0,-1.0,0.0,-58.0
Financial liabilities,Cash from Financing Activity,-4.0,0.0,-10.0,-8.0,-15.0,-23.0,-301.0
Other financing items,Cash from Financing Activity,0.0,0.0,0.0,-169.0,-1.0,0.0,0.0
