,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,6.0,-217.0,6.0,-216.0,-76.0,245.0,135.0,12.0,85.0,134.0,355.0,207.0
Cash from Investing Activity,,-99.0,122.0,52.0,3.0,9.0,5.0,1.0,-39.0,41.0,56.0,-111.0,46.0
Cash from Financing Activity,,2.0,182.0,-100.0,106.0,49.0,-135.0,-86.0,45.0,-240.0,44.0,34.0,-185.0
Net Cash Flow,,-91.0,86.0,-42.0,-106.0,-18.0,114.0,51.0,17.0,-114.0,233.0,278.0,67.0
Free Cash Flow,,-23.0,-232.0,-5.0,-219.0,-78.0,310.0,122.0,9.0,83.0,122.0,351.0,202.0
CFO/OP,,29.0,-76.0,35.0,-46.0,-10.0,130.0,76.0,13.0,35.0,44.0,103.0,64.0
Profit from operations,Cash from Operating Activity,317.0,231.0,340.0,324.0,246.0,244.0,264.0,312.0,63.0,448.0,429.0,591.0
Receivables,Cash from Operating Activity,-123.0,-483.0,-610.0,-205.0,-88.0,-367.0,-8.0,-277.0,-129.0,-342.0,-56.0,-581.0
Inventory,Cash from Operating Activity,-15.0,-49.0,57.0,1.0,3.0,-11.0,-3.0,-3.0,-2.0,-1.0,0.0,0.0
Payables,Cash from Operating Activity,3.0,202.0,218.0,227.0,100.0,80.0,288.0,-63.0,56.0,-40.0,113.0,178.0
Loans Advances,Cash from Operating Activity,-14.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other WC items,Cash from Operating Activity,-108.0,-54.0,78.0,-481.0,-280.0,335.0,-374.0,61.0,123.0,94.0,-49.0,118.0
Working capital changes,Cash from Operating Activity,-257.0,-395.0,-257.0,-457.0,-266.0,37.0,-97.0,-282.0,49.0,-288.0,8.0,-285.0
Direct taxes,Cash from Operating Activity,-55.0,-53.0,-77.0,-82.0,-57.0,-37.0,-32.0,-19.0,-28.0,-26.0,-82.0,-100.0
Fixed assets purchased,Cash from Investing Activity,-28.73,-15.17,-13.91,-6.38,-2.8,-3.63,-15.02,-5.52,-5.2,-11.9,-4.5,-5.2
Fixed assets sold,Cash from Investing Activity,0.61,0.63,2.78,2.76,1.1,68.66,1.42,2.88,3.5,0.9,0.5,0.3
Investments purchased,Cash from Investing Activity,-25.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.27,0.0,0.0,0.0,-2.0
Investments sold,Cash from Investing Activity,10.0,9.4,11.78,19.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Interest received,Cash from Investing Activity,0.0,4.98,9.58,3.12,3.77,4.76,8.87,5.97,6.7,14.0,21.6,45.3
Dividends received,Cash from Investing Activity,5.32,1.18,1.66,1.09,1.07,2.36,1.43,8.62,1.1,12.2,2.3,1.3
Redemp n Canc of Shares,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.8,10.8,0.0
Other investing items,Cash from Investing Activity,-60.72,120.67,40.51,-16.3,6.19,-67.12,4.66,-32.73,34.6,-2.8,-142.1,5.9
Proceeds from shares,Cash from Financing Activity,20.0,4.0,1.0,2.0,1.0,0.0,118.0,0.0,0.0,0.0,0.0,6.0
Proceeds from borrowings,Cash from Financing Activity,0.0,0.0,0.0,172.0,131.0,3.0,121.0,155.0,0.0,150.0,81.0,0.0
Repayment of borrowings,Cash from Financing Activity,0.0,0.0,0.0,-13.0,-19.0,-79.0,-288.0,-72.0,-210.0,-82.0,-9.0,-142.0
Interest paid fin,Cash from Financing Activity,-15.0,-25.0,-27.0,-27.0,-42.0,-57.0,-35.0,-37.0,-28.0,-25.0,-33.0,-23.0
Dividends paid,Cash from Financing Activity,-21.0,-26.0,-26.0,-27.0,-23.0,-2.0,-1.0,0.0,0.0,0.0,0.0,-25.0
Financial liabilities,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-0.0,-4.0,-2.0
Other financing items,Cash from Financing Activity,19.0,229.0,-48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
