,parent_line_item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,384.0,402.0,380.0,524.0,98.0,270.0,610.0,571.0,298.0
Cash from Investing Activity,,-415.0,-262.0,-72.0,338.0,-459.0,-101.0,62.0,61.0,-2032.0
Cash from Financing Activity,,-46.0,-62.0,-87.0,-75.0,-89.0,-101.0,-117.0,-307.0,-212.0
Net Cash Flow,,-77.0,79.0,221.0,786.0,-450.0,68.0,555.0,325.0,-1946.0
Free Cash Flow,,229.0,216.0,75.0,425.0,-70.0,90.0,544.0,452.0,37.0
CFO/OP,,105.0,99.0,87.0,125.0,46.0,92.0,168.0,129.0,86.0
Profit from operations,Cash from Operating Activity,587.0,642.0,699.0,574.0,427.0,424.0,425.0,585.0,486.0
Receivables,Cash from Operating Activity,-34.0,-16.0,141.0,-58.0,0.0,-6.0,92.0,-172.0,-231.0
Inventory,Cash from Operating Activity,79.0,-78.0,-293.0,-108.0,67.0,-197.0,261.0,-79.0,-183.0
Payables,Cash from Operating Activity,4.0,87.0,0.0,284.0,-233.0,131.0,-173.0,340.0,154.0
Other WC items,Cash from Operating Activity,-47.0,4.0,40.0,-43.0,-71.0,-13.0,70.0,34.0,186.0
Working capital changes,Cash from Operating Activity,1.0,-3.0,-112.0,75.0,-237.0,-84.0,251.0,124.0,-74.0
Direct taxes,Cash from Operating Activity,-204.0,-236.0,-206.0,-125.0,-92.0,-70.0,-65.0,-138.0,-114.0
Fixed assets purchased,Cash from Investing Activity,-156.0,-187.0,-307.0,-101.0,-170.0,-181.0,-66.0,-120.0,-263.0
Fixed assets sold,Cash from Investing Activity,0.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,3.0
Investments sold,Cash from Investing Activity,0.0,0.0,138.0,357.0,0.0,0.0,0.0,0.0,0.0
Interest received,Cash from Investing Activity,61.0,87.0,97.0,72.0,47.0,75.0,128.0,160.0,143.0
Acquisition of companies,Cash from Investing Activity,0.0,0.0,0.0,0.0,-425.0,0.0,0.0,0.0,0.0
Other investing items,Cash from Investing Activity,-321.0,-163.0,-2.0,7.0,86.0,3.0,-0.0,19.0,-1914.0
Interest paid fin,Cash from Financing Activity,-1.0,-1.0,-3.0,-2.0,-6.0,-9.0,-12.0,-20.0,-24.0
Dividends paid,Cash from Financing Activity,-38.0,-50.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0
Financial liabilities,Cash from Financing Activity,0.0,0.0,-8.0,-10.0,-19.0,-28.0,-42.0,-57.0,-66.0
Other financing items,Cash from Financing Activity,-8.0,-10.0,-13.0,0.0,0.0,0.0,0.0,-167.0,-59.0
