,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,681.0,731.0,741.0,554.0,135.0,250.0,1548.0,280.0,129.0,714.0,1186.0,708.0
Cash from Investing Activity,,-165.0,16.0,1325.0,-1041.0,864.0,397.0,-511.0,586.0,-202.0,-46.0,-1602.0,-299.0
Cash from Financing Activity,,-343.0,-405.0,-414.0,-1090.0,-966.0,-1062.0,-541.0,-715.0,-408.0,-274.0,23.0,-339.0
Net Cash Flow,,173.0,342.0,1652.0,-1577.0,33.0,-415.0,496.0,150.0,-481.0,395.0,-393.0,70.0
Free Cash Flow,,572.0,459.0,515.0,300.0,-146.0,105.0,1374.0,51.0,-127.0,606.0,1098.0,553.0
CFO/OP,,87.0,92.0,83.0,67.0,42.0,45.0,128.0,44.0,47.0,105.0,104.0,229.0
Profit from operations,Cash from Operating Activity,1321.0,1563.0,2025.0,2239.0,2780.0,2237.0,1968.0,1740.0,790.0,613.0,1186.0,402.0
Receivables,Cash from Operating Activity,-269.0,-354.0,-242.0,-251.0,-1426.0,-29.0,293.0,-127.0,163.0,71.0,372.0,-197.0
Inventory,Cash from Operating Activity,-14.0,-128.0,-368.0,-936.0,-1154.0,-1483.0,-53.0,-980.0,-911.0,399.0,142.0,278.0
Payables,Cash from Operating Activity,60.0,232.0,6.0,332.0,865.0,-164.0,-159.0,144.0,475.0,-128.0,-440.0,432.0
Working capital changes,Cash from Operating Activity,-224.0,-250.0,-604.0,-855.0,-1715.0,-1676.0,81.0,-964.0,-272.0,342.0,74.0,513.0
Direct taxes,Cash from Operating Activity,-416.0,-583.0,-681.0,-830.0,-930.0,-311.0,-501.0,-497.0,-389.0,-240.0,-73.0,-207.0
Fixed assets purchased,Cash from Investing Activity,-115.0,-308.0,-232.0,-259.0,-282.0,-182.0,-206.0,-236.0,-268.0,-130.0,-92.0,-160.0
Fixed assets sold,Cash from Investing Activity,6.0,37.0,6.0,4.0,1.0,37.0,32.0,8.0,12.0,22.0,4.0,5.0
Investments purchased,Cash from Investing Activity,-3225.0,-3567.0,-5599.0,-4620.0,-2786.0,-3186.0,-1432.0,-1.0,0.0,0.0,-2334.0,-2310.0
Investments sold,Cash from Investing Activity,3130.0,3506.0,5301.0,4418.0,3379.0,3503.0,916.0,812.0,9.0,2.0,1210.0,2304.0
Interest received,Cash from Investing Activity,116.0,99.0,98.0,120.0,100.0,136.0,27.0,22.0,40.0,46.0,58.0,51.0
Dividends received,Cash from Investing Activity,4.0,0.0,10.0,0.0,1.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0
Invest in subsidiaries,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
Investment in group cos,Cash from Investing Activity,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acquisition of companies,Cash from Investing Activity,0.0,-98.0,-11.0,-202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other investing items,Cash from Investing Activity,-79.0,347.0,1753.0,-505.0,452.0,90.0,135.0,-18.0,5.0,14.0,-448.0,-187.0
Proceeds from borrowings,Cash from Financing Activity,1.0,1.0,1.0,0.0,3.0,0.0,1.0,2.0,4.0,2.0,202.0,1.0
Repayment of borrowings,Cash from Financing Activity,-102.0,-1.0,-1.0,-294.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-3.0,-3.0
Interest paid fin,Cash from Financing Activity,-7.0,-3.0,-7.0,-10.0,-5.0,-9.0,-4.0,-5.0,-39.0,-90.0,-30.0,-29.0
Dividends paid,Cash from Financing Activity,-235.0,-405.0,-406.0,-383.0,-473.0,-523.0,-112.0,-285.0,-288.0,0.0,-96.0,-233.0
Financial liabilities,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,-45.0,-22.0,-23.0,-56.0,-63.0,-73.0,-75.0
Other financing items,Cash from Financing Activity,0.0,4.0,0.0,-403.0,-489.0,-484.0,-403.0,-403.0,-28.0,-120.0,22.0,0.0
