,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,69.0,90.0,77.0,69.0,149.0,259.0,287.0,237.0,92.0,246.0,380.0,226.0
Cash from Investing Activity,,29.0,-28.0,-72.0,-59.0,-4092.0,-17.0,-10.0,-59.0,-85.0,-178.0,-207.0,-2910.0
Cash from Financing Activity,,-27.0,-58.0,-6.0,-2.0,4052.0,-260.0,-216.0,-234.0,-138.0,-26.0,-186.0,2698.0
Net Cash Flow,,71.0,4.0,-1.0,8.0,109.0,-18.0,60.0,-56.0,-132.0,43.0,-13.0,15.0
Free Cash Flow,,72.0,86.0,46.0,61.0,132.0,235.0,269.0,162.0,47.0,220.0,315.0,126.0
CFO/OP,,80.0,114.0,86.0,64.0,115.0,81.0,83.0,70.0,28.0,81.0,99.0,50.0
Profit from operations,Cash from Operating Activity,101.0,92.0,101.0,129.0,163.0,284.0,352.0,347.0,333.0,293.0,404.0,467.0
Receivables,Cash from Operating Activity,1.0,-2.0,-1.0,-5.0,-7.0,-19.0,22.0,-53.0,-65.0,-76.0,-65.0,7.0
Inventory,Cash from Operating Activity,2.0,2.0,-8.0,-3.0,0.0,-59.0,-72.0,3.0,-96.0,-10.0,-40.0,-75.0
Payables,Cash from Operating Activity,0.0,13.0,2.0,10.0,85.0,90.0,-43.0,-75.0,-53.0,48.0,51.0,-54.0
Loans Advances,Cash from Operating Activity,-23.0,0.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other WC items,Cash from Operating Activity,-1.0,-1.0,6.0,-50.0,-29.0,-35.0,27.0,18.0,-26.0,-6.0,27.0,-89.0
Working capital changes,Cash from Operating Activity,-21.0,12.0,-15.0,-48.0,49.0,-23.0,-66.0,-106.0,-240.0,-44.0,-27.0,-211.0
Direct taxes,Cash from Operating Activity,-11.0,-14.0,-9.0,-12.0,-63.0,-2.0,0.0,-4.0,-1.0,-3.0,3.0,-30.0
Fixed assets purchased,Cash from Investing Activity,-4.0,-4.0,-31.0,-8.0,-17.0,-25.0,-20.0,-75.0,-45.0,-28.0,-66.0,-102.0
Fixed assets sold,Cash from Investing Activity,7.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0
Investments purchased,Cash from Investing Activity,0.0,0.0,-0.0,-118.0,-4643.0,0.0,0.0,0.0,-41.0,-5.0,-369.0,0.0
Investments sold,Cash from Investing Activity,0.0,-93.0,64.0,1.0,120.0,5.0,2.0,1.0,0.0,0.0,51.0,35.0
Interest received,Cash from Investing Activity,27.0,31.0,31.0,31.0,20.0,5.0,7.0,9.0,3.0,11.0,3.0,1.0
Invest in subsidiaries,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2850.0
Other investing items,Cash from Investing Activity,0.0,38.0,-137.0,35.0,427.0,-3.0,-2.0,5.0,-2.0,-157.0,173.0,4.0
Proceeds from shares,Cash from Financing Activity,0.0,0.0,0.0,0.0,1519.0,0.0,987.0,0.0,0.0,0.0,0.0,0.0
Redemption of debentures,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,0.0,-132.0,0.0,0.0,0.0,0.0,0.0
Proceeds from borrowings,Cash from Financing Activity,0.0,0.0,25.0,0.0,44.0,0.0,531.0,19.0,161.0,94.0,0.0,2890.0
Repayment of borrowings,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,-50.0,-1500.0,-188.0,-250.0,-62.0,-139.0,-60.0
Interest paid fin,Cash from Financing Activity,-0.0,-0.0,-1.0,0.0,-30.0,-140.0,-101.0,-32.0,-16.0,-24.0,-14.0,-87.0
Dividends paid,Cash from Financing Activity,-23.0,-48.0,-25.0,-2.0,-31.0,-58.0,-0.0,-32.0,-32.0,-32.0,-32.0,-38.0
Financial liabilities,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-1.0,-2.0,-2.0,-2.0,-6.0
Other financing items,Cash from Financing Activity,-4.0,-10.0,-5.0,-0.0,2550.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0
