nse_symbol,status
AADHARHFC,"ok:consolidated:headline=6:cols=8;schedules=Cash from Operating Activity=8,Cash from Investing Activity=6,Cash from Financing Activity=10"
AARTIDRUGS,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=6,Cash from Investing Activity=7,Cash from Financing Activity=6"
AARTIIND,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=8,Cash from Investing Activity=9,Cash from Financing Activity=7"
AARTIPHARM,"ok:consolidated:headline=6:cols=6;schedules=Cash from Operating Activity=7,Cash from Investing Activity=6,Cash from Financing Activity=6"
AAVAS,"ok:consolidated:headline=6:cols=7;schedules=Cash from Operating Activity=5,Cash from Investing Activity=6,Cash from Financing Activity=5"
ABB,"ok:consolidated:headline=6:cols=4;schedules=Cash from Operating Activity=8,Cash from Investing Activity=6,Cash from Financing Activity=5"
ABBOTINDIA,"ok:standalone:headline=6:cols=12;schedules=Cash from Operating Activity=8,Cash from Investing Activity=5,Cash from Financing Activity=4"
ABCAPITAL,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=9,Cash from Investing Activity=10,Cash from Financing Activity=9"
ABDL,"ok:consolidated:headline=6:cols=7;schedules=Cash from Operating Activity=6,Cash from Investing Activity=7,Cash from Financing Activity=8"
ABFRL,"ok:consolidated:headline=6:cols=8;schedules=Cash from Operating Activity=7,Cash from Investing Activity=10,Cash from Financing Activity=6"
ABLBL,"ok:consolidated:headline=6:cols=2;schedules=Cash from Operating Activity=7,Cash from Investing Activity=4,Cash from Financing Activity=6"
ABREL,"ok:consolidated:headline=6:cols=10;schedules=Cash from Operating Activity=7,Cash from Investing Activity=8,Cash from Financing Activity=7"
ABSLAMC,"ok:consolidated:headline=6:cols=10;schedules=Cash from Operating Activity=7,Cash from Investing Activity=6,Cash from Financing Activity=4"
ACC,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=8,Cash from Investing Activity=9,Cash from Financing Activity=6"
ACE,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=8,Cash from Investing Activity=9,Cash from Financing Activity=7"
ACI,"ok:consolidated:headline=6:cols=6;schedules=Cash from Operating Activity=7,Cash from Investing Activity=6,Cash from Financing Activity=7"
ACMESOLAR,"ok:consolidated:headline=6:cols=7;schedules=Cash from Operating Activity=8,Cash from Investing Activity=8,Cash from Financing Activity=9"
ACUTAAS,"ok:consolidated:headline=6:cols=10;schedules=Cash from Operating Activity=8,Cash from Investing Activity=6,Cash from Financing Activity=7"
ADANIENSOL,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=8,Cash from Investing Activity=8,Cash from Financing Activity=8"
ADANIENT,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=9,Cash from Investing Activity=11,Cash from Financing Activity=8"
ADANIGREEN,"ok:consolidated:headline=6:cols=11;schedules=Cash from Operating Activity=9,Cash from Investing Activity=8,Cash from Financing Activity=9"
ADANIPORTS,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=8,Cash from Investing Activity=11,Cash from Financing Activity=8"
ADANIPOWER,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=8,Cash from Investing Activity=10,Cash from Financing Activity=9"
ADVENZYMES,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=8,Cash from Investing Activity=7,Cash from Financing Activity=7"
AEGISLOG,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=8,Cash from Investing Activity=10,Cash from Financing Activity=7"
AEGISVOPAK,"ok:consolidated:headline=6:cols=5;schedules=Cash from Operating Activity=7,Cash from Investing Activity=6,Cash from Financing Activity=7"
AEQUS,"ok:consolidated:headline=6:cols=4;schedules=Cash from Operating Activity=7,Cash from Investing Activity=8,Cash from Financing Activity=7"
AETHER,"ok:consolidated:headline=6:cols=5;schedules=Cash from Operating Activity=8,Cash from Investing Activity=6,Cash from Financing Activity=6"
AFCONS,"ok:consolidated:headline=6:cols=7;schedules=Cash from Operating Activity=7,Cash from Investing Activity=6,Cash from Financing Activity=6"
AFFLE,"ok:consolidated:headline=6:cols=9;schedules=Cash from Operating Activity=6,Cash from Investing Activity=7,Cash from Financing Activity=6"
AGARWALEYE,"ok:consolidated:headline=6:cols=7;schedules=Cash from Operating Activity=7,Cash from Investing Activity=6,Cash from Financing Activity=8"
AHLUCONT,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=8,Cash from Investing Activity=5,Cash from Financing Activity=6"
AIAENG,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=8,Cash from Investing Activity=8,Cash from Financing Activity=7"
AIIL,"ok:consolidated:headline=6:cols=4;schedules=Cash from Operating Activity=8,Cash from Investing Activity=4,Cash from Financing Activity=6"
AJANTPHARM,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=8,Cash from Investing Activity=5,Cash from Financing Activity=7"
AKUMS,"ok:consolidated:headline=6:cols=9;schedules=Cash from Operating Activity=7,Cash from Investing Activity=8,Cash from Financing Activity=6"
ALIVUS,"ok:consolidated:headline=6:cols=3;schedules=Cash from Operating Activity=empty,Cash from Investing Activity=empty,Cash from Financing Activity=empty"
ALKEM,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=8,Cash from Investing Activity=10,Cash from Financing Activity=8"
ALKYLAMINE,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=8,Cash from Investing Activity=7,Cash from Financing Activity=5"
ALOKINDS,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=8,Cash from Investing Activity=8,Cash from Financing Activity=7"
AMBER,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=8,Cash from Investing Activity=8,Cash from Financing Activity=8"
AMBUJACEM,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=7,Cash from Investing Activity=10,Cash from Financing Activity=8"
ANANDRATHI,"ok:consolidated:headline=6:cols=8;schedules=Cash from Operating Activity=6,Cash from Investing Activity=7,Cash from Financing Activity=7"
ANANTRAJ,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=10,Cash from Investing Activity=8,Cash from Financing Activity=8"
ANGELONE,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=8,Cash from Investing Activity=7,Cash from Financing Activity=9"
ANTHEM,"ok:consolidated:headline=6:cols=7;schedules=Cash from Operating Activity=8,Cash from Investing Activity=9,Cash from Financing Activity=6"
ANUP,"ok:consolidated:headline=6:cols=6;schedules=Cash from Operating Activity=7,Cash from Investing Activity=7,Cash from Financing Activity=7"
ANURAS,"ok:consolidated:headline=6:cols=8;schedules=Cash from Operating Activity=8,Cash from Investing Activity=8,Cash from Financing Activity=9"
APARINDS,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=7,Cash from Investing Activity=11,Cash from Financing Activity=7"
APLAPOLLO,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=8,Cash from Investing Activity=8,Cash from Financing Activity=7"
APLLTD,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=8,Cash from Investing Activity=9,Cash from Financing Activity=7"
APOLLO,"ok:consolidated:headline=6:cols=7;schedules=Cash from Operating Activity=8,Cash from Investing Activity=4,Cash from Financing Activity=9"
