role,name,qualification,experience,years_present,status,first_seen_in_ar
Chairman,Pramod Kasat,,,"FY2021,FY2023,FY2024,FY2025",current,https://www.bseindia.com/bseplus/AnnualReport/540025/69501540025.pdf
Chairman,Vasant Rathi,,"irector of your Company, with over 44 years of experience in the enzyme industry. He holds a bachelor’s d",FY2024–FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/f7577ee1-5170-4194-9213-a5fe787d1a43.pdf
Chairman,"Vasant Rathi 
Non",,,"FY2021,FY2023,FY2024,FY2025",current,https://www.bseindia.com/bseplus/AnnualReport/540025/69501540025.pdf
Chairman,Vinodkumar Jajoo,,,"FY2021,FY2023,FY2024,FY2025",current,https://www.bseindia.com/bseplus/AnnualReport/540025/69501540025.pdf
Managing Director,Martina Doering,"Monheim am Rhein, 1406 Lexington Street, Tustin CA 92782 reG IS te re D oF FIC e Advanced Enzyme Technologies Limited",,FY2023–FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/95e0d661-fab4-4b3c-a785-976cda20a2dd.pdf
Managing Director,Michael Puls,"Monheim am Rhein, 1406 Lexington Street, Tustin CA 92782 reG IS te re D oF FIC e Advanced Enzyme Technologies Limited",,FY2023–FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/95e0d661-fab4-4b3c-a785-976cda20a2dd.pdf
Managing Director,Mukund Kabra,"ission to Non-Executive Directors is within the limit of 1% of the Net profits of the Company for the year under review, ca",,"FY2021,FY2023,FY2024,FY2025",current,https://www.bseindia.com/bseplus/AnnualReport/540025/69501540025.pdf
CFO,Beni Rauka,,,FY2024–FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/f7577ee1-5170-4194-9213-a5fe787d1a43.pdf
CFO,Harshad Doshi,"Monheim am Rhein, 1406 Lexington Street, Tustin CA 92782 reG IS te re D oF FIC e Adv",,"FY2021,FY2023,FY2024,FY2025",current,https://www.bseindia.com/bseplus/AnnualReport/540025/69501540025.pdf
Chairman,Kedar Desai,,,"FY2021,FY2023",exited,https://www.bseindia.com/bseplus/AnnualReport/540025/69501540025.pdf
CFO,Beni Prasad Rauka,,,"FY2021,FY2023,FY2024",exited,https://www.bseindia.com/bseplus/AnnualReport/540025/69501540025.pdf
