role,name,qualification,experience,years_present,status,first_seen_in_ar
Chairman,Achal Bakeri,"d Medallist) from AIT, Pune University and has an MBA (Gold Medallist) from IIM Kozhikode. Her expertise and experience are","rn California. Mr. Bakeri has 32 years of experience in varied fields, including construction, exports",FY2024–FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/4fdc2c76-c999-4d11-83a4-ea1bbaccc969.pdf
Chairman,Girdhar Kumar Chitlangia,,,FY2024–FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/4fdc2c76-c999-4d11-83a4-ea1bbaccc969.pdf
Chairman,"Govind
 Shrikhande ChairmanVice",,,FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/24fcf72d-013a-4e28-8725-1f0559b1bee0.pdf
Chairman,Kulin Sanjay Lalbhai,,,FY2024–FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/4fdc2c76-c999-4d11-83a4-ea1bbaccc969.pdf
Chairman,Nagesh Pinge,,,FY2024–FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/4fdc2c76-c999-4d11-83a4-ea1bbaccc969.pdf
Chairman,Nilesh Shah,,,FY2024–FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/4fdc2c76-c999-4d11-83a4-ea1bbaccc969.pdf
Chairman,Sanjay Lalbhai,,,"FY2021,FY2023,FY2024,FY2025",current,https://www.bseindia.com/bseplus/AnnualReport/542484/69155542484.pdf
Managing Director,Ananya	Tripathi,"he Group's foray into real estate. Kulin holds an MBA from the Harvard Business School, and a BSc in Electrical Engineerin",,FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/24fcf72d-013a-4e28-8725-1f0559b1bee0.pdf
Managing Director,Nilesh Shah,"as studied Master of Business Administration from University of Southern California. Mr. Bakeri has 32 years of experience in varied fields,","utive Director Mr. Suresh has over 30 years of experience in the FMCG, Lifestyle Brands & Retail industries",FY2024–FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/4fdc2c76-c999-4d11-83a4-ea1bbaccc969.pdf
Managing Director,Shailesh Chaturvedi,"A Trust, the CSR arm of Arvind. Mr. Lalbhai is an MBA from Jamnalal Bajaj Institute. Mr. Shailesh Chaturvedi Managing Direc","ive Director Mr. Suresh has over 30 years of experience in the FMCG, Lifestyle Brands & Retail industries","FY2021,FY2023,FY2024,FY2025",current,https://www.bseindia.com/bseplus/AnnualReport/542484/69155542484.pdf
Chairman,Kulin Lalbhai,,,FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/4fdc2c76-c999-4d11-83a4-ea1bbaccc969.pdf
Chairman,Nilesh Dhirajlal Shah,,,"FY2021,FY2023",exited,https://www.bseindia.com/bseplus/AnnualReport/542484/69155542484.pdf
Chairman,Nilesh Dhirajlal Shah-,,,"FY2021,FY2023",exited,https://www.bseindia.com/bseplus/AnnualReport/542484/69155542484.pdf
Chairman,Nithya Easwaran,,,"FY2021,FY2023",exited,https://www.bseindia.com/bseplus/AnnualReport/542484/69155542484.pdf
Chairman,Nithya Easwaran-,,,"FY2021,FY2023",exited,https://www.bseindia.com/bseplus/AnnualReport/542484/69155542484.pdf
Chairman,Sanjaybhai Lalbhai,,,FY2023–FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/483e9498-e51c-4955-bf62-d7cc4f08734c.pdf
Chairman,Sanjaybhai Shrenikbhai Lalbhai,,,"FY2021,FY2023",exited,https://www.bseindia.com/bseplus/AnnualReport/542484/69155542484.pdf
Chairman,Shailesh Shyam Chaturvedi,,,"FY2021,FY2023",exited,https://www.bseindia.com/bseplus/AnnualReport/542484/69155542484.pdf
Chairman,Suresh Jayaraman,,,FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/4fdc2c76-c999-4d11-83a4-ea1bbaccc969.pdf
Managing Director,Shailesh Shyam Chaturvedi,e of the Annual General Meeting of the Company to be held thereafter and subject to the approval of shareholders in the,,"FY2021,FY2023,FY2024",exited,https://www.bseindia.com/bseplus/AnnualReport/542484/69155542484.pdf
Managing Director,Suresh Jayaraman,,,FY2021,exited,https://www.bseindia.com/bseplus/AnnualReport/542484/69155542484.pdf
CFO,Girdhar Kumar Chitlangia,,,FY2023–FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/483e9498-e51c-4955-bf62-d7cc4f08734c.pdf
CFO,Piyush Gupta,,,FY2023,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/483e9498-e51c-4955-bf62-d7cc4f08734c.pdf
CFO,Pramod Kumar Gupta,e of the Annual General Meeting of the Company to be held thereafter and subject to the approval of shareholders in the,,FY2021,exited,https://www.bseindia.com/bseplus/AnnualReport/542484/69155542484.pdf
