role,name,qualification,experience,years_present,status,first_seen_in_ar
Chairman,Arun Gupta,,,FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/45ee525f-e8eb-4948-a115-82d0e002ac72.pdf
Chairman,Arvind Kohli,,,FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/45ee525f-e8eb-4948-a115-82d0e002ac72.pdf
Chairman,Ashok Tyagi,,,FY2024–FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/8f5db99b-e253-4154-9039-5ca6fc861b9b.pdf
Chairman,JS Deepak,,,FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/45ee525f-e8eb-4948-a115-82d0e002ac72.pdf
Chairman,Soumen Ray,,,FY2024–FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/8f5db99b-e253-4154-9039-5ca6fc861b9b.pdf
CEO,Marut Dilawari,,,FY2024–FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/8f5db99b-e253-4154-9039-5ca6fc861b9b.pdf
CEO,Rabi Mishra,,,FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/45ee525f-e8eb-4948-a115-82d0e002ac72.pdf
CEO,Rajnish Verma,,,FY2024–FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/8f5db99b-e253-4154-9039-5ca6fc861b9b.pdf
CFO,Akhil Garg,,,FY2024–FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/8f5db99b-e253-4154-9039-5ca6fc861b9b.pdf
Chairman,Jagdish Saksena Deepak,,,FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/8f5db99b-e253-4154-9039-5ca6fc861b9b.pdf
CFO,Kamal Dua,,,FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/8f5db99b-e253-4154-9039-5ca6fc861b9b.pdf
