role,name,qualification,experience,years_present,status,first_seen_in_ar
Chairman,Rakesh Makhija,"has lived this commitment in India since 1910. Be it customers or business associates, we are driven by our focus on",,FY2024–FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/0c9ea9ee-e043-41c8-9506-406a45ab21f0.pdf
Chairman,Sangeeta Talwar,,,FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/739e1c39-7f07-4bef-8ce8-7eec54a51ad9.pdf
Chairman,Satyavati Berera,,,FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/739e1c39-7f07-4bef-8ce8-7eec54a51ad9.pdf
Managing Director,Saugata Basuray,"ered Accountant, Certified Internal Auditor, and IIM Ahmedabad alumnus, Mr. Baxi was recognised as the ""CXO of the Year"" i","99 and has since accumulated over 25 years of experience across sales, marketing, and business developmen",FY2023–FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/5dcfa03c-7b35-4a34-bbff-fa84f3003eca.pdf
Chairman,"Uday 
KhannaIndependent",,,FY2022,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/66314a52-99f6-47f5-8937-8eb9062bfde8.pdf
Managing Director,Kedar Lele,"rtunities that the market has to offer. For now, be assured that we are leading the way and shaping a resilient future",,FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/0c9ea9ee-e043-41c8-9506-406a45ab21f0.pdf
Managing Director,Mayank Pandey,,,FY2022–FY2023,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/66314a52-99f6-47f5-8937-8eb9062bfde8.pdf
Managing Director,"Mayank Pandey
Designation",,,FY2021,exited,https://www.bseindia.com/bseplus/AnnualReport/500870/72981500870.pdf
Managing Director,Sandeep Sangwan,"ll Principles are covered by a policy, reasons to be stated: Questions P1 P2 P3 P4 P5 P6 P7 P8 P9 The entity does not cons",,FY2021–FY2023,exited,https://www.bseindia.com/bseplus/AnnualReport/500870/72981500870.pdf
CFO,Deepesh Baxi,,,FY2022–FY2023,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/66314a52-99f6-47f5-8937-8eb9062bfde8.pdf
