role,name,qualification,experience,years_present,status,first_seen_in_ar
Chairman,Chandrashekhar Bhave,,,FY2021–FY2025,current,https://www.bseindia.com/bseplus/AnnualReport/540376/69056540376.pdf
Chairman,Ignatius Navil Noronha,o tackle Covid-19 has helped economic activity to be broadly,,FY2021–FY2025,current,https://www.bseindia.com/bseplus/AnnualReport/540376/69056540376.pdf
Chairman,Kalpana Unadkat,,,FY2024–FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/14f569a2-0850-4e73-aa38-69494b1142cb.pdf
Chairman,Manjri Chandak,,,FY2021–FY2025,current,https://www.bseindia.com/bseplus/AnnualReport/540376/69056540376.pdf
Chairman,Ramakant Baheti,,,FY2021–FY2025,current,https://www.bseindia.com/bseplus/AnnualReport/540376/69056540376.pdf
Managing Director,Elvin Machado,,,FY2021–FY2025,current,https://www.bseindia.com/bseplus/AnnualReport/540376/69056540376.pdf
Managing Director,Ignatius Navil Noronha,,,FY2021–FY2025,current,https://www.bseindia.com/bseplus/AnnualReport/540376/69056540376.pdf
Managing Director,Ramakant Baheti,,,FY2021–FY2025,current,https://www.bseindia.com/bseplus/AnnualReport/540376/69056540376.pdf
CFO,Niladri Deb,,,FY2021–FY2025,current,https://www.bseindia.com/bseplus/AnnualReport/540376/69056540376.pdf
Chairman,Ramesh Damani,,,FY2021–FY2024,exited,https://www.bseindia.com/bseplus/AnnualReport/540376/69056540376.pdf
