role,name,qualification,experience,years_present,status,first_seen_in_ar
Chairman,Davinder Singh Brar,,,FY2023–FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/7da6b73d-5504-40a9-8c21-7612ac5ba196.pdf
Managing Director,Anand Kripalu,,,FY2022–FY2025,current,https://www.bseindia.com/bseplus/AnnualReport/500135/73473500135.pdf
Chairman,Amit Jain,"Member CategoryNo. of Meetings Held Attended Mr. Amit Jain, ChairmanNon-executive Director1 0 Mrs. Sharmila Abhay KarveIn",,FY2021,exited,https://www.bseindia.com/bseplus/AnnualReport/500135/68820500135.pdf
Chairman,Animesh Agrawal,mix of executive and Directors. RMC meets as may be necessary and function in compliance with applicable statutory provi,,FY2021–FY2023,exited,https://www.bseindia.com/bseplus/AnnualReport/500135/68820500135.pdf
Chairman,Sharmila Karve,,,FY2021,exited,https://www.bseindia.com/bseplus/AnnualReport/500135/68820500135.pdf
Chairman,"Uwe Ferdinand 
Roehrhoff",,,FY2021,exited,https://www.bseindia.com/bseplus/AnnualReport/500135/68820500135.pdf
Chairman,Uwe Roehrhoff,,,FY2022–FY2023,exited,https://www.bseindia.com/bseplus/AnnualReport/500135/73473500135.pdf
Managing Director,Sudhanshu Vats,,,FY2021–FY2022,exited,https://www.bseindia.com/bseplus/AnnualReport/500135/68820500135.pdf
Managing Director,Vinay Mokashi,,,FY2021,exited,https://www.bseindia.com/bseplus/AnnualReport/500135/68820500135.pdf
CFO,Amit Jain,,,FY2022–FY2023,exited,https://www.bseindia.com/bseplus/AnnualReport/500135/73473500135.pdf
CFO,Deepak Goyal,,,FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/3cb64a40-04a7-4c43-942f-24deec7f8aca.pdf
CFO,Parag Shah,,,FY2021–FY2022,exited,https://www.bseindia.com/bseplus/AnnualReport/500135/68820500135.pdf
