role,name,qualification,experience,years_present,status,first_seen_in_ar
Chairman,Arvind Uppal,,,FY2022–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/10544f4c-949a-48cb-abde-709912f6868d.pdf
Chairman,Gurveen Singh,,,"FY2022,FY2023,FY2025,FY2026",current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/10544f4c-949a-48cb-abde-709912f6868d.pdf
Managing Director,Pratik Pota,s of experience in Financial Services. He has a BBA with High Distinction from The Ross School of Business at the Univers,ent Banking division. He has 18 years of experience in Private Equity and 21 years of experience in F,FY2025–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/6b21c198-a921-47d5-bc20-e3ba0cf0a191.pdf
CFO,Gaurav Khandelwal,,,FY2025–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/6b21c198-a921-47d5-bc20-e3ba0cf0a191.pdf
Chairman,Anil Kamath,,,FY2022,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/10544f4c-949a-48cb-abde-709912f6868d.pdf
Chairman,Sivanandhan Dhanushkodi,,,FY2022,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/10544f4c-949a-48cb-abde-709912f6868d.pdf
Chairman,Vinod Rao,,,FY2022–FY2023,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/10544f4c-949a-48cb-abde-709912f6868d.pdf
Managing Director,Pratik Rashmikant Pota,"c companies in which he/she is a Director. The limit of the Board Committees, Chairpersonship and membership of the Audit",,FY2022–FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/10544f4c-949a-48cb-abde-709912f6868d.pdf
CEO,"Pratik Rashmikant 
Pota",,,FY2022,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/10544f4c-949a-48cb-abde-709912f6868d.pdf
CFO,Gaurav Pradip Khandelwal,,,FY2022–FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/10544f4c-949a-48cb-abde-709912f6868d.pdf
CFO,Rajagopalan Sambamoorthy,,,FY2022–FY2023,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/10544f4c-949a-48cb-abde-709912f6868d.pdf
