role,name,qualification,experience,years_present,status,first_seen_in_ar
Chairman,Devendra Kumar Jain,,,FY2021–FY2025,current,https://www.bseindia.com/bseplus/AnnualReport/542812/71754542812.pdf
Chairman,Shailendra Swarup,,,FY2022–FY2025,current,https://www.bseindia.com/bseplus/AnnualReport/542812/75566542812.pdf
Chairman,Shanti Prashad Jain,,,FY2021–FY2025,current,https://www.bseindia.com/bseplus/AnnualReport/542812/71754542812.pdf
Chairman,Vivek Jain,,,FY2022–FY2025,current,https://www.bseindia.com/bseplus/AnnualReport/542812/75566542812.pdf
Managing Director,"Bir Kapoor  
Deputy",,,FY2024–FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/ae3a792a-b3d2-475d-8b4e-10ba32c6d87d.pdf
Managing Director,Vivek Jain,,,FY2021–FY2025,current,https://www.bseindia.com/bseplus/AnnualReport/542812/71754542812.pdf
Managing Director,"Vivek Jain
Chairman",,,FY2022–FY2025,current,https://www.bseindia.com/bseplus/AnnualReport/542812/75566542812.pdf
CFO,Manoj Agrawal,,,FY2021–FY2025,current,https://www.bseindia.com/bseplus/AnnualReport/542812/71754542812.pdf
Chairman,Om Prakash Lohia,,at New Delhi. He has around 45 years of experience in handling various legal matters. He is also,FY2021–FY2023,exited,https://www.bseindia.com/bseplus/AnnualReport/542812/71754542812.pdf
Managing Director,Bir Kapoor,,,FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/ae3a792a-b3d2-475d-8b4e-10ba32c6d87d.pdf
Managing Director,"Jay Mohanlal 
Shah",,,FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/ae3a792a-b3d2-475d-8b4e-10ba32c6d87d.pdf
Managing Director,"Jay Mohanlal 
Shah-",,,FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/ae3a792a-b3d2-475d-8b4e-10ba32c6d87d.pdf
Managing Director,"Niraj Kishore 
Agnihotri",,,FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/ae3a792a-b3d2-475d-8b4e-10ba32c6d87d.pdf
Managing Director,Sanath Kumar Muppirala,aduated from T.K.I.E.T from Kolhapur and did his M. Tech in chemical engineering from the University Department of Chemical,"l Technology, Mumbai. He has over 36 years of experience in petrochemical plants of major global chemical",FY2023–FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/e1ebabd6-6d1a-4348-8ffb-f9e320619be9.pdf
CEO,Bir Kapoor,,,FY2022–FY2023,exited,https://www.bseindia.com/bseplus/AnnualReport/542812/75566542812.pdf
