role,name,qualification,experience,years_present,status,first_seen_in_ar
Chairman,Nakul Toshniwal,for-profit entities till mid-2021. Mr. Apte has a B.E. (Mech) degree from the University of Pune and a Diploma in Business,"nc. in New York, USA, and has over 22 years of experience in managing, investing in and growing companies i",FY2022–FY2026,current,https://www.bseindia.com/bseplus/AnnualReport/505255/74782505255.pdf
Chairman,Prakash Apte,,,FY2024–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/4beb4aa7-2b0d-486f-add4-83dc3f77315f.pdf
Managing Director,Tarak Patel,fit organizations until mid-2021. Mr. Apte has a B.E. (Mech) degree from the University of Pune and a Diploma in Business,"Mumbai, India. Mr. Patel has over 25 years of experience in leadership, strategy and business management",FY2023–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/46454fcf-58be-4029-9afe-5ba715108e76.pdf
Managing Director,Vivek Bhatia,"ialization in Organizational Behaviour) from the University of Delhi, 1997 and has a Level B Certification in Occupational Assessments fr","ness strategy. Ms. Mishra has 22 years of experience across industries, as a talent and leadership de",FY2022–FY2026,current,https://www.bseindia.com/bseplus/AnnualReport/505255/74782505255.pdf
CEO,Thomas Kehl,,,FY2022–FY2026,current,https://www.bseindia.com/bseplus/AnnualReport/505255/74782505255.pdf
Chairman,"Prakash Apte
Managing",,,FY2024–FY2025,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/4beb4aa7-2b0d-486f-add4-83dc3f77315f.pdf
Managing Director,Harsh Gupta,"ul client work in the region. Mr. Bhatia holds an MBA (from IIM Calcutta), M. Tech. (Gold Medalist from IIT Delhi) and B.E",,FY2023,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/46454fcf-58be-4029-9afe-5ba715108e76.pdf
Managing Director,Prakash Apte,,,FY2024–FY2025,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/4beb4aa7-2b0d-486f-add4-83dc3f77315f.pdf
Managing Director,"Tarak Patel
  Chairperson",,,FY2024–FY2025,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/4beb4aa7-2b0d-486f-add4-83dc3f77315f.pdf
CEO,Aseem Joshi,,,FY2022–FY2025,exited,https://www.bseindia.com/bseplus/AnnualReport/505255/74782505255.pdf
CEO,Harsh Gupta,"ul client work in the region. Mr. Bhatia holds an MBA (from IIM Calcutta), M. Tech. (Gold medallist from IIT Delhi) and B.",,FY2022,exited,https://www.bseindia.com/bseplus/AnnualReport/505255/74782505255.pdf
CFO,Manish Poddar,,,FY2022–FY2025,exited,https://www.bseindia.com/bseplus/AnnualReport/505255/74782505255.pdf
