role,name,qualification,experience,years_present,status,first_seen_in_ar
Chairman,Ravi Jhunjhunwala,,,FY2022–FY2026,current,https://www.bseindia.com/bseplus/AnnualReport/509631/73858509631.pdf
Chairman,"Riju 
JhunjhunwalaVice",,,"FY2023,FY2025,FY2026",current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/26a25528-75c0-4289-a01b-66b295b82ff4.pdf
Chairman,Riju Jhunjhunwala,,,FY2022–FY2026,current,https://www.bseindia.com/bseplus/AnnualReport/509631/73858509631.pdf
Chairman,Satish Chand Mehta,s lower. 32. Such other key issues/matters as may be referred by the Board or as may be necessary in view of the SEBI (Li,,FY2022–FY2026,current,https://www.bseindia.com/bseplus/AnnualReport/509631/73858509631.pdf
Chairman,"Shekhar
AgarwalPromoter-Non",,,FY2024–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/fea699ae-8f4c-4de3-bdd9-9e1869e60241.pdf
Chairman,"Vinita 
SinghaniaVice",,,FY2022–FY2026,current,https://www.bseindia.com/bseplus/AnnualReport/509631/73858509631.pdf
Managing Director,Jayant Davar,,,FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/1ee1b27d-6c24-4127-8901-e99deff90773.pdf
Managing Director,"Ravi 
JhunjhunwalaChairman",,,"FY2023,FY2025,FY2026",current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/26a25528-75c0-4289-a01b-66b295b82ff4.pdf
Managing Director,Ravi Jhunjhunwala Chairman,,,FY2022–FY2026,current,https://www.bseindia.com/bseplus/AnnualReport/509631/73858509631.pdf
Managing Director,"Riju 
JhunjhunwalaChairman",,,FY2022–FY2026,current,https://www.bseindia.com/bseplus/AnnualReport/509631/73858509631.pdf
Managing Director,"Vinita 
SinghaniaVice Chairman",,,FY2022–FY2026,current,https://www.bseindia.com/bseplus/AnnualReport/509631/73858509631.pdf
CFO,Ravi Kant Tripathi,,,FY2025–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/aca8243e-4261-4a15-a98c-b08a404803d2.pdf
Chairman,Kamal Gupta,,,FY2022–FY2024,exited,https://www.bseindia.com/bseplus/AnnualReport/509631/73858509631.pdf
Chairman,Ravi Jhunjunwala,,,FY2022,exited,https://www.bseindia.com/bseplus/AnnualReport/509631/73858509631.pdf
Chairman,Shekhar Agarwal,,,FY2025,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/aca8243e-4261-4a15-a98c-b08a404803d2.pdf
Managing Director,"Jayant 
DavarIndependent",,,FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/fea699ae-8f4c-4de3-bdd9-9e1869e60241.pdf
Managing Director,Riju Jhunjhunwala Chairman,,,FY2021,exited,https://www.bseindia.com/bseplus/AnnualReport/509631/68655509631.pdf
Managing Director,Shekhar Agarwal Non-ExecutiveChairman,,,FY2021,exited,https://www.bseindia.com/bseplus/AnnualReport/509631/68655509631.pdf
CFO,Gulshan Kumar Sakhuja,pproved the enhancement of existing investment limit by way of Secondary Market Transaction/ Overseas Portfolio Investment,,FY2024–FY2025,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/fea699ae-8f4c-4de3-bdd9-9e1869e60241.pdf
