role,name,qualification,experience,years_present,status,first_seen_in_ar
Chairman,Sivasubramanian Ramann,"Annual Target of 1.38 lakh subscribers. Shri Sumit Phakka, DMD received the ‘Annual Award for FY 2024-25’ on behalf of",,FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/2452f761-2b8b-48bb-bf41-ea688e06836c.pdf
Managing Director,Rakesh Sharma,,,FY2022–FY2026,current,https://www.bseindia.com/bseplus/AnnualReport/500116/73344500116.pdf
Managing Director,Sumit Phakka,,,FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/2452f761-2b8b-48bb-bf41-ea688e06836c.pdf
Managing Director,"Sumit Phakka
Deputy",,,FY2025–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/626c3ff2-18bf-4f80-8719-2f02a6908990.pdf
Chairman,"Siddhartha 
Mohanty",,,FY2024–FY2025,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/da8342e4-3d73-4a36-9e2b-a295adfa2526.pdf
Managing Director,"Samuel Joseph 
JebarajDeputy",,,FY2023,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/b3f07559-8fe6-44ed-8059-74d3ad043736.pdf
Managing Director,Samuel Joseph Jebaraj,,,FY2022–FY2023,exited,https://www.bseindia.com/bseplus/AnnualReport/500116/73344500116.pdf
Managing Director,"Suresh 
KhatanharDeputy",,,FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/da8342e4-3d73-4a36-9e2b-a295adfa2526.pdf
Managing Director,Suresh Khatanar Deputy,,,FY2023,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/b3f07559-8fe6-44ed-8059-74d3ad043736.pdf
Managing Director,"Suresh Khatanhar
Deputy",,,FY2022–FY2023,exited,https://www.bseindia.com/bseplus/AnnualReport/500116/73344500116.pdf
