role,name,qualification,experience,years_present,status,first_seen_in_ar
Chairman,Ajay Thakker,,,FY2024–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/81e58ed4-daa0-46b0-8bf1-e9614ba20101.pdf
Managing Director,Ankit Thakker,,,FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/13ce8d30-7809-46f4-b6e8-29b617b84147.pdf
CEO,Rajendra Patankar,,,FY2024–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/81e58ed4-daa0-46b0-8bf1-e9614ba20101.pdf
CEO,Shilpa Tatake,,,FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/13ce8d30-7809-46f4-b6e8-29b617b84147.pdf
CFO,Sivasis Sen,,,FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/13ce8d30-7809-46f4-b6e8-29b617b84147.pdf
Chairman,Ajay Pratap Thakker,,,FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/81e58ed4-daa0-46b0-8bf1-e9614ba20101.pdf
Chairman,Ajay Thakkar,,,FY2025,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/e32a47dd-3f2a-4d61-838b-8eb4dcc21626.pdf
Chairman,Ajay Thakker Chairperson,,,FY2024–FY2025,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/81e58ed4-daa0-46b0-8bf1-e9614ba20101.pdf
Chairman,Bhaskar Shah,,,FY2024–FY2025,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/81e58ed4-daa0-46b0-8bf1-e9614ba20101.pdf
Chairman,Satish Utekar,,,FY2024–FY2025,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/81e58ed4-daa0-46b0-8bf1-e9614ba20101.pdf
Chairman,Vadapatra Raghavan,,,FY2024–FY2025,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/81e58ed4-daa0-46b0-8bf1-e9614ba20101.pdf
Managing Director,Ajay Thakker,,,FY2024–FY2025,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/81e58ed4-daa0-46b0-8bf1-e9614ba20101.pdf
CFO,Harshad Purani,,,FY2024–FY2025,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/81e58ed4-daa0-46b0-8bf1-e9614ba20101.pdf
