role,name,qualification,experience,years_present,status,first_seen_in_ar
Chairman,Nimesh Kampani,,,FY2022–FY2026,current,https://www.bseindia.com/bseplus/AnnualReport/523405/73407523405.pdf
Chairman,"Nimesh Kampani
Non","fees and/or commission has been paid/proposed to be paid to Mr. Nimesh Kampani for the financial year 2025-26, as the sa",,FY2022–FY2026,current,https://www.bseindia.com/bseplus/AnnualReport/523405/73407523405.pdf
Chairman,Pradip Kanakia,,,FY2026,current,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=96cc0601-a6d9-42f3-8843-c176049e0b53.pdf
Managing Director,Abhishek Bhagat,,,FY2024–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/c04c1eb2-6672-4af2-99e2-0248b75066ef.pdf
Managing Director,Adi Patel,,,FY2023–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/220356a7-833e-49d1-ba95-3a737e73e8de.pdf
Managing Director,Amit Dharod,,,FY2026,current,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=96cc0601-a6d9-42f3-8843-c176049e0b53.pdf
Managing Director,Amit Jhalaria,,,"FY2023,FY2024,FY2026",current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/220356a7-833e-49d1-ba95-3a737e73e8de.pdf
Managing Director,Amit Kumar Jhalaria,,,FY2025–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/ad36281e-d1df-40e4-906e-2b19ac88f9e1.pdf
Managing Director,Amit Shrivastava,,,FY2025–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/ad36281e-d1df-40e4-906e-2b19ac88f9e1.pdf
Managing Director,Amitabh Mohanty,,,FY2022–FY2026,current,https://www.bseindia.com/bseplus/AnnualReport/523405/73407523405.pdf
Managing Director,Anil Salvi,,,FY2022–FY2026,current,https://www.bseindia.com/bseplus/AnnualReport/523405/73407523405.pdf
Managing Director,Anish Damania,,,FY2022–FY2026,current,https://www.bseindia.com/bseplus/AnnualReport/523405/73407523405.pdf
Managing Director,Ankur Jhaveri,,,FY2025–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/ad36281e-d1df-40e4-906e-2b19ac88f9e1.pdf
Managing Director,Anshuman Das,,,FY2025–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/ad36281e-d1df-40e4-906e-2b19ac88f9e1.pdf
Managing Director,Anuj Kapoor,,,FY2022–FY2026,current,https://www.bseindia.com/bseplus/AnnualReport/523405/73407523405.pdf
Managing Director,Arjun Mehra,,,FY2023–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/220356a7-833e-49d1-ba95-3a737e73e8de.pdf
Managing Director,Ashish Chaturmohta,,,FY2025–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/ad36281e-d1df-40e4-906e-2b19ac88f9e1.pdf
Managing Director,Ashu Madan,,,FY2022–FY2026,current,https://www.bseindia.com/bseplus/AnnualReport/523405/73407523405.pdf
Managing Director,Cheryl Netto,,,FY2022–FY2026,current,https://www.bseindia.com/bseplus/AnnualReport/523405/73407523405.pdf
Managing Director,Chintan Maniar,,,FY2023–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/220356a7-833e-49d1-ba95-3a737e73e8de.pdf
Managing Director,Chirag Negandhi,,,FY2024–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/c04c1eb2-6672-4af2-99e2-0248b75066ef.pdf
Managing Director,Devan Kampani,,,FY2022–FY2026,current,https://www.bseindia.com/bseplus/AnnualReport/523405/73407523405.pdf
Managing Director,Dimplekumar Shah,,,FY2022–FY2026,current,https://www.bseindia.com/bseplus/AnnualReport/523405/73407523405.pdf
Managing Director,Harish Kumar Lalchandani,,,FY2025–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/ad36281e-d1df-40e4-906e-2b19ac88f9e1.pdf
Managing Director,Jigar Chheda,,,FY2025–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/ad36281e-d1df-40e4-906e-2b19ac88f9e1.pdf
Managing Director,Krishna Rao,,,FY2022–FY2026,current,https://www.bseindia.com/bseplus/AnnualReport/523405/73407523405.pdf
Managing Director,Kumar Gaurav,,,FY2026,current,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=96cc0601-a6d9-42f3-8843-c176049e0b53.pdf
Managing Director,Manish Sheth,,,FY2024–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/c04c1eb2-6672-4af2-99e2-0248b75066ef.pdf
Managing Director,Neha Agarwal,,,FY2023–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/220356a7-833e-49d1-ba95-3a737e73e8de.pdf
Managing Director,Nirav Gandhi,,,FY2024–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/c04c1eb2-6672-4af2-99e2-0248b75066ef.pdf
Managing Director,Nishit Shah,,,FY2024–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/c04c1eb2-6672-4af2-99e2-0248b75066ef.pdf
Managing Director,Nitin Idnani,,,FY2024–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/c04c1eb2-6672-4af2-99e2-0248b75066ef.pdf
Managing Director,Ranganath Char,,,FY2022–FY2026,current,https://www.bseindia.com/bseplus/AnnualReport/523405/73407523405.pdf
Managing Director,Sachin Chandiwal,,,FY2025–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/ad36281e-d1df-40e4-906e-2b19ac88f9e1.pdf
Managing Director,Sampoornananda Kamath,,,FY2026,current,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=96cc0601-a6d9-42f3-8843-c176049e0b53.pdf
Managing Director,Sandeep Jain,,,FY2023–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/220356a7-833e-49d1-ba95-3a737e73e8de.pdf
Managing Director,Sanjay Bhatia,,,FY2022–FY2026,current,https://www.bseindia.com/bseplus/AnnualReport/523405/73407523405.pdf
Managing Director,Satish Ramanathan,,,FY2025–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/ad36281e-d1df-40e4-906e-2b19ac88f9e1.pdf
Managing Director,Siddharth Kothari,,,FY2025–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/ad36281e-d1df-40e4-906e-2b19ac88f9e1.pdf
Managing Director,Sonia Dasgupta,,,FY2022–FY2026,current,https://www.bseindia.com/bseplus/AnnualReport/523405/73407523405.pdf
Managing Director,Srinivasan Viswanathan,,,"FY2024,FY2026",current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/c04c1eb2-6672-4af2-99e2-0248b75066ef.pdf
Managing Director,Sumeet Surana,,,FY2024–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/c04c1eb2-6672-4af2-99e2-0248b75066ef.pdf
Managing Director,Surajit Misra,,,FY2026,current,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=96cc0601-a6d9-42f3-8843-c176049e0b53.pdf
Managing Director,Swapna Dey,,,FY2023–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/220356a7-833e-49d1-ba95-3a737e73e8de.pdf
Managing Director,Venkatesh Balasubramaniam,,,FY2025–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/ad36281e-d1df-40e4-906e-2b19ac88f9e1.pdf
Managing Director,Venugopal Nyalapelli,,,FY2025–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/ad36281e-d1df-40e4-906e-2b19ac88f9e1.pdf
Managing Director,Vikas Kothari,,,FY2024–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/c04c1eb2-6672-4af2-99e2-0248b75066ef.pdf
Managing Director,Vinit Rai,,,FY2025–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/ad36281e-d1df-40e4-906e-2b19ac88f9e1.pdf
CFO,Nishit Shah,,,FY2025–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/ad36281e-d1df-40e4-906e-2b19ac88f9e1.pdf
Chairman,HM Bangur,,,FY2023,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/220356a7-833e-49d1-ba95-3a737e73e8de.pdf
Chairman,"Nimesh 
KampaniNon",,,FY2022,exited,https://www.bseindia.com/bseplus/AnnualReport/523405/73407523405.pdf
Chairman,Paul Zuckerman,,,FY2022,exited,https://www.bseindia.com/bseplus/AnnualReport/523405/73407523405.pdf
Chairman,Vijay Kelkar,,,FY2022,exited,https://www.bseindia.com/bseplus/AnnualReport/523405/73407523405.pdf
Managing Director,Ajay Manglunia,,,FY2022–FY2024,exited,https://www.bseindia.com/bseplus/AnnualReport/523405/73407523405.pdf
Managing Director,Ajay Mishra,,,FY2021,exited,https://www.bseindia.com/bseplus/AnnualReport/523405/68672523405.pdf
Managing Director,Akhil Kejriwal,,,FY2024–FY2025,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/c04c1eb2-6672-4af2-99e2-0248b75066ef.pdf
Managing Director,Anil Bhatia,,,FY2022,exited,https://www.bseindia.com/bseplus/AnnualReport/523405/73407523405.pdf
Managing Director,Arunava Das,,,FY2025,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/ad36281e-d1df-40e4-906e-2b19ac88f9e1.pdf
Managing Director,"Atul 
MehraJoint",,,FY2022,exited,https://www.bseindia.com/bseplus/AnnualReport/523405/73407523405.pdf
Managing Director,Atul Mehra,,,FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/c04c1eb2-6672-4af2-99e2-0248b75066ef.pdf
Managing Director,Darius Pandole,,,FY2022–FY2024,exited,https://www.bseindia.com/bseplus/AnnualReport/523405/73407523405.pdf
Managing Director,Deven Shah,,,FY2023–FY2025,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/220356a7-833e-49d1-ba95-3a737e73e8de.pdf
Managing Director,Gagan Singla,,,FY2023–FY2025,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/220356a7-833e-49d1-ba95-3a737e73e8de.pdf
Managing Director,Gitanjali Mirchandani,,,FY2021,exited,https://www.bseindia.com/bseplus/AnnualReport/523405/68672523405.pdf
Managing Director,Jaisinh Suchak,,,FY2025,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/ad36281e-d1df-40e4-906e-2b19ac88f9e1.pdf
Managing Director,Kamal Sultania,,,FY2025,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/ad36281e-d1df-40e4-906e-2b19ac88f9e1.pdf
Managing Director,Nikhil Chandak,,,FY2025,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/ad36281e-d1df-40e4-906e-2b19ac88f9e1.pdf
Managing Director,Nimesh Kampani,,,FY2021,exited,https://www.bseindia.com/bseplus/AnnualReport/523405/68672523405.pdf
Managing Director,Pranob Gupta,,,FY2025,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/ad36281e-d1df-40e4-906e-2b19ac88f9e1.pdf
Managing Director,Prashant Choksi,,,FY2022,exited,https://www.bseindia.com/bseplus/AnnualReport/523405/73407523405.pdf
Managing Director,Rajendra Gandhi,,,FY2023,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/220356a7-833e-49d1-ba95-3a737e73e8de.pdf
Managing Director,Rajiv Agrawal,,,FY2024–FY2025,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/c04c1eb2-6672-4af2-99e2-0248b75066ef.pdf
Managing Director,Rakesh Parekh,,,FY2022–FY2025,exited,https://www.bseindia.com/bseplus/AnnualReport/523405/73407523405.pdf
Managing Director,Richard Liu,,,FY2022–FY2023,exited,https://www.bseindia.com/bseplus/AnnualReport/523405/73407523405.pdf
Managing Director,Sameer Bhise,,,FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/c04c1eb2-6672-4af2-99e2-0248b75066ef.pdf
Managing Director,Sandeep Bakhshi,,,FY2023,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/220356a7-833e-49d1-ba95-3a737e73e8de.pdf
Managing Director,Sashidhar Jagdishan,,,FY2023,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/220356a7-833e-49d1-ba95-3a737e73e8de.pdf
Managing Director,Subodh Shinkar,,,FY2022,exited,https://www.bseindia.com/bseplus/AnnualReport/523405/73407523405.pdf
Managing Director,Vinay Jaising,,,FY2022–FY2024,exited,https://www.bseindia.com/bseplus/AnnualReport/523405/73407523405.pdf
Managing Director,Vishal Kampani,,,FY2021,exited,https://www.bseindia.com/bseplus/AnnualReport/523405/68672523405.pdf
Managing Director,YV Shivnarain,,,FY2023–FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/220356a7-833e-49d1-ba95-3a737e73e8de.pdf
CFO,Manish Sheth,,,FY2022–FY2023,exited,https://www.bseindia.com/bseplus/AnnualReport/523405/73407523405.pdf
