role,name,qualification,experience,years_present,status,first_seen_in_ar
Chairman,Arvind Lal,,,"FY2023,FY2024,FY2026",current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/cac948d4-dee1-4ea9-9a68-b138e9d20526.pdf
Managing Director,Vandana Lal,,,FY2022–FY2026,current,https://www.bseindia.com/bseplus/AnnualReport/539524/73150539524.pdf
Chairman,Manoj Garg,,,FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/720e725b-efc6-44f3-a3e6-b425901a25ba.pdf
Chairman,Saurabh Srivastava IDNE,,,FY2021,exited,https://www.bseindia.com/bseplus/AnnualReport/539524/68777539524.pdf
Chairman,Somya Satsangi IDNE,,,FY2021,exited,https://www.bseindia.com/bseplus/AnnualReport/539524/68777539524.pdf
Chairman,Sunil Varma IDNE,,,FY2021,exited,https://www.bseindia.com/bseplus/AnnualReport/539524/68777539524.pdf
Managing Director,Om Manchanda,,,FY2023,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/cac948d4-dee1-4ea9-9a68-b138e9d20526.pdf
Managing Director,"Om Prakash 
Manchanda",,,FY2023–FY2025,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/cac948d4-dee1-4ea9-9a68-b138e9d20526.pdf
CEO,Shankha Banerjee,,,FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/720e725b-efc6-44f3-a3e6-b425901a25ba.pdf
CFO,Ved Prakash Goel,,,FY2021,exited,https://www.bseindia.com/bseplus/AnnualReport/539524/68777539524.pdf
