role,name,qualification,experience,years_present,status,first_seen_in_ar
Chairman,Akshay Kumar Rout,,,FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/beccfd6a-062c-44a7-bbc2-1d890504bdc1.pdf
Chairman,Siddhartha Mohanty Chairman,,,FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/beccfd6a-062c-44a7-bbc2-1d890504bdc1.pdf
Managing Director,Tribhuwan Adhikari,oteswara Rao who has been longest in office would be retiring by rotation at the ensuing Annual General Meeting and is eli,,FY2024–FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/e7dcdde2-f8e0-470b-88ce-69563351dd57.pdf
CFO,Lokesh Mundhra,,,FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/beccfd6a-062c-44a7-bbc2-1d890504bdc1.pdf
CFO,Sudipto Sil,Kumar Raut who have been longest in office would be retiring by rotation at the ensuing Annual General Meeting and is eli,"8), who possess around about 12 years of experience in Secretarial Compliances, Legal Matters, Accoun",FY2021–FY2025,current,https://www.bseindia.com/bseplus/AnnualReport/500253/70857500253.pdf
Chairman,Akshay Rout,,,FY2023,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/dcd135d4-1bee-4574-bac4-d930d4c2a752.pdf
Chairman,Jagdish Capoor,,,FY2021,exited,https://www.bseindia.com/bseplus/AnnualReport/500253/70857500253.pdf
Chairman,Siddhartha Mohanty,,,FY2023–FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/dcd135d4-1bee-4574-bac4-d930d4c2a752.pdf
Managing Director,Siddhartha Mohanty,,,FY2021,exited,https://www.bseindia.com/bseplus/AnnualReport/500253/70857500253.pdf
Managing Director,Vinay Sah,,,FY2021,exited,https://www.bseindia.com/bseplus/AnnualReport/500253/70857500253.pdf
Managing Director,Yerur Viswanatha Gowd,Kumar Raut who have been longest in office would be retiring by rotation at the ensuing Annual General Meeting and is eli,"8), who possess around about 12 years of experience in Secretarial Compliances, Legal Matters, Accoun",FY2021–FY2023,exited,https://www.bseindia.com/bseplus/AnnualReport/500253/70857500253.pdf
