role,name,qualification,experience,years_present,status,first_seen_in_ar
Chairman,Kapil Kapoor,,,FY2024–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/5e8272b8-c8e1-4090-b74f-e0081127cc5b.pdf
Chairman,Rajesh Magow,,,FY2026,current,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a1e5af8e-9b28-475f-aca2-fbf49bd74bab.pdf
Managing Director,Hitesh Oberoi Co-Promoter,"ector, only one-third of the Board is required to be independent, Info Edge has, believing in the significance of an Inde",,"FY2022,FY2024,FY2025,FY2026",current,https://www.bseindia.com/bseplus/AnnualReport/532777/74047532777.pdf
Managing Director,Pawan Goyal,,,FY2024–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/5e8272b8-c8e1-4090-b74f-e0081127cc5b.pdf
Chairman,Sanjiv Sachar,,,FY2023,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/ae474b1f-f917-420f-8757-0ffb6a2ccb2c.pdf
Managing Director,Chintan Thakkar,"ector, only one-third of the Board is required to be independent, Info Edge has, believing in the significance of an Inde",,"FY2022,FY2024,FY2025",exited,https://www.bseindia.com/bseplus/AnnualReport/532777/74047532777.pdf
Managing Director,Hitesh Oberoi,,,FY2025,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/a955658b-6759-4a11-b62b-4de43f5540e2.pdf
Managing Director,Hitesh Oberoi Promoter,"ector, only one-third of the Board is required to be independent, Info Edge has, believing in the signiﬁcance of an Indep",,FY2021,exited,https://www.bseindia.com/bseplus/AnnualReport/532777/69241532777_30_08_21.pdf
Managing Director,Sanjeev Bikhchandani Promoter,"ector, only one-third of the Board is required to be independent, Info Edge has, believing in the significance of an Inde",,FY2022,exited,https://www.bseindia.com/bseplus/AnnualReport/532777/74047532777.pdf
Managing Director,"Sanjiv Sachar
Designation",,,FY2023,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/ae474b1f-f917-420f-8757-0ffb6a2ccb2c.pdf
