role,name,qualification,experience,years_present,status,first_seen_in_ar
Chairman,Ramesh Kumar Dua,,,FY2021–FY2025,current,https://www.bseindia.com/bseplus/AnnualReport/530517/69147530517.pdf
Chairman,Ramesh Kumar Dua-,,,FY2022–FY2025,current,https://www.bseindia.com/bseplus/AnnualReport/530517/73942530517.pdf
Chairman,"Yogesh 
Kapur",,,FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/c76dceb9-dce8-4924-a356-d59de7819b5e.pdf
CFO,Sushil Batra,"stipulated under Secretarial Standard-2 issued by ICSI and Regulation 36(3) of the Listing Regulations, is appended as an",,FY2021–FY2025,current,https://www.bseindia.com/bseplus/AnnualReport/530517/69147530517.pdf
Chairman,Deepa Verma,,,FY2023–FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/effa4f08-85b9-43a2-ac39-3289539fc90a.pdf
Chairman,Pankaj Shrimali,,,FY2021–FY2024,exited,https://www.bseindia.com/bseplus/AnnualReport/530517/69147530517.pdf
Chairman,Vivek Kumar,,,FY2021–FY2023,exited,https://www.bseindia.com/bseplus/AnnualReport/530517/69147530517.pdf
Managing Director,Gaurav Dua,,,FY2023,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/effa4f08-85b9-43a2-ac39-3289539fc90a.pdf
Managing Director,Gaurav Kumaar Dua,,,FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/84185805-a87b-4ae7-8781-8bccb1558262.pdf
Managing Director,Nikhil Dua,,,FY2021–FY2022,exited,https://www.bseindia.com/bseplus/AnnualReport/530517/69147530517.pdf
Managing Director,"Ramesh 
Kumar Dua",,,FY2021–FY2024,exited,https://www.bseindia.com/bseplus/AnnualReport/530517/69147530517.pdf
