role,name,qualification,experience,years_present,status,first_seen_in_ar
Chairman,Ashok Ramaswamy,,,FY2025–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/5be605ee-f8e0-48a8-b221-9a6445053df7.pdf
Chairman,Anil Dhirubhai Ambani,,,FY2021,exited,https://www.bseindia.com/bseplus/AnnualReport/532939/69758532939.pdf
Chairman,Bimal Julka,ulated a CSR policy indicating the activities to be undertaken by the Company. The CSR policy is also monitored by the C,,FY2021,exited,https://www.bseindia.com/bseplus/AnnualReport/532939/69758532939.pdf
Chairman,Chhaya Virani,ulated a CSR policy indicating the activities to be undertaken by the Company. The CSR policy is also monitored by the C,,FY2022–FY2024,exited,https://www.bseindia.com/bseplus/AnnualReport/532939/73191532939.pdf
Chairman,Punit Garg,,,FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/47fb78fc-9a12-4aeb-999a-697b2e8acea4.pdf
Chairman,Sateesh Seth,,,FY2023,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/2585ae1d-8998-4753-a9fa-3022d9e988a4.pdf
Chairman,Thomas Mathew,ulated a CSR policy indicating the activities to be undertaken by the Company. The CSR policy is also monitored by the C,,FY2022,exited,https://www.bseindia.com/bseplus/AnnualReport/532939/73191532939.pdf
CFO,Akshiv Singhla,,,FY2022,exited,https://www.bseindia.com/bseplus/AnnualReport/532939/73191532939.pdf
CFO,Ashok Kumar Pal,,,FY2023–FY2025,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/2585ae1d-8998-4753-a9fa-3022d9e988a4.pdf
CFO,Sandeep Khosla,,,FY2022,exited,https://www.bseindia.com/bseplus/AnnualReport/532939/73191532939.pdf
CFO,Subrajit Bhowmick,,,FY2022,exited,https://www.bseindia.com/bseplus/AnnualReport/532939/73191532939.pdf
