role,name,qualification,experience,years_present,status,first_seen_in_ar
Chairman,Harsh Bahadur,"t: September 26, 2022 Mr. Harsh Bahadur holds an MBA from Boston University and a degree in History from St. Stephen’s Co","Stephen’s College. He brings over 37 years of experience across diverse sectors including retail, FMCG, m",FY2026,current,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=989c0050-9e7d-437d-bdf0-807ced620e63.pdf
Managing Director,Deepak Mishra,"ery and gemstone product portfolios. He holds an MBA in Marketing and Finance.Mr. Ankur Sogani Vice President, Commercial,","nce: Mr. Deepak Mishra brings over 20 years of experience in the TV home shopping industry, with a strong","FY2023,FY2026",current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/a5f41562-b634-47bd-80f5-46266f95c898.pdf
Managing Director,Raghuveer Patnala,"nd and experience: Mr. Raghuveer Patnala holds an MBA from the Indian Institute of Management (IIM), Udaipur. Having an ex",q is a technology leader with over 21 years of experience in building and scaling modern IT organisations.,FY2025–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/a5e91439-bdc4-4f38-b3a2-ead9f45c90e6.pdf
Managing Director,Sunil Agrawal,duate of Brigham Young University and earned her MBA from Harvard Business School. Board Meetings held & attended during,,"FY2022,FY2025,FY2026",current,https://www.bseindia.com/bseplus/AnnualReport/532156/73622532156.pdf
Chairman,"Sunil 
AgrawalCommittee",,,FY2021,exited,https://www.bseindia.com/bseplus/AnnualReport/532156/68813532156.pdf
Managing Director,Ashish Dawra,,,FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/a5e045a3-a67d-4ef6-83b5-a0a1544a5779.pdf
Managing Director,Jay Chandran,rmany) Mr. Pushpendra Singh Mr. Deepak MishraMr. Amit AgarwalManagement Team Shop LC received Governor’s Achievement Level,,FY2021,exited,https://www.bseindia.com/bseplus/AnnualReport/532156/68813532156.pdf
Managing Director,Mohammed Farooq,,,FY2025,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/a5e91439-bdc4-4f38-b3a2-ead9f45c90e6.pdf
Managing Director,Pushpendra Singh,,,FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/a5e045a3-a67d-4ef6-83b5-a0a1544a5779.pdf
Managing Director,Srikant Jha,,,FY2023,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/a5f41562-b634-47bd-80f5-46266f95c898.pdf
