role,name,qualification,experience,years_present,status,first_seen_in_ar
Managing Director,Rajaram Narayanan,"2022. • Mr. Rahul Mukim (DIN: 06996915) ceased to be the Director of the Company w.e.f December 06, 2022. The Company has",,FY2022–FY2024,current,https://www.bseindia.com/bseplus/AnnualReport/512529/74988512529.pdf
Chairman,Gopakumar Nair,,,FY2021,exited,https://www.bseindia.com/bseplus/AnnualReport/512529/70290512529.pdf
Chairman,Kamal Sharma,,,FY2022–FY2023,exited,https://www.bseindia.com/bseplus/AnnualReport/512529/74988512529.pdf
Chairman,Kausalya  Santhanam,,,FY2023,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/b9eaa6cb-6902-4077-b056-0edfa34983d4.pdf
Chairman,Milind Sarwate,,,FY2022–FY2023,exited,https://www.bseindia.com/bseplus/AnnualReport/512529/74988512529.pdf
Chairman,Neeraj Bharadwaj,,,FY2022–FY2023,exited,https://www.bseindia.com/bseplus/AnnualReport/512529/74988512529.pdf
Chairman,Rahul Mukim,,,FY2022,exited,https://www.bseindia.com/bseplus/AnnualReport/512529/74988512529.pdf
Managing Director,Manish Gupta,,,FY2022,exited,https://www.bseindia.com/bseplus/AnnualReport/512529/74988512529.pdf
Managing Director,Sharat Narasapur,"e Company has resigned from the services and will be relieved on May 31, 2022. The Board will announce his successor in",,FY2022–FY2023,exited,https://www.bseindia.com/bseplus/AnnualReport/512529/74988512529.pdf
CFO,Tushar Mistry,"e Company has resigned from the services and will be relieved on May 31, 2022. The Board will announce his successor in",,FY2022,exited,https://www.bseindia.com/bseplus/AnnualReport/512529/74988512529.pdf
