role,name,qualification,experience,years_present,status,first_seen_in_ar
Chairman,Ambika Sharma,,,FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/435c7a4f-9a8f-45dd-84b0-8af639945dd0.pdf
Chairman,Nilesh Gandhi,,,FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/435c7a4f-9a8f-45dd-84b0-8af639945dd0.pdf
Chairman,Sunil Jain,,,FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/435c7a4f-9a8f-45dd-84b0-8af639945dd0.pdf
Managing Director,Hitesh	Mehta,,,FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/435c7a4f-9a8f-45dd-84b0-8af639945dd0.pdf
Managing Director,Pujan	Doshi,"2015, the approval of the Members of the Company be and is hereby accorded in accordance with the provisions of section",,FY2021–FY2025,current,https://www.bseindia.com/bseplus/AnnualReport/534618/72340534618.pdf
Managing Director,"Pujan Doshi
Designation",,,FY2024–FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/d06b9a9b-71c1-44d8-b34e-3dc318c6e5d2.pdf
CFO,Manmohan Sharma,"M Mr. Sunil Rathi Executive Director He holds a BE in Electronics and an MBA in Marketing from ITM, Mumbai, with over t",Business Management. He has over 20 years of experience in power projects.Mr. Manmohan Sharma Chief Finan,FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/435c7a4f-9a8f-45dd-84b0-8af639945dd0.pdf
Chairman,Mitul	Mehta,,,FY2021–FY2022,exited,https://www.bseindia.com/bseplus/AnnualReport/534618/72340534618.pdf
Chairman,Nilesh	Bhogilal	Gandhi,"erce & Law, and is a Fellow Chartered Accountant (FCA). With over 30 years of experience in finance, power, and renewables","tered Accountant (FCA). With over 30 years of experience in finance, power, and renewables, he has held p","FY2021,FY2022,FY2024",exited,https://www.bseindia.com/bseplus/AnnualReport/534618/72340534618.pdf
Managing Director,Pujan	Pankaj	Doshi,"erce & Law, and is a Fellow Chartered Accountant (FCA). With over 30 years of experience in finance, power, and renewables","tered Accountant (FCA). With over 30 years of experience in finance, power, and renewables, he has held p","FY2021,FY2022,FY2024",exited,https://www.bseindia.com/bseplus/AnnualReport/534618/72340534618.pdf
CFO,Dilip Panjwani,"Shah holds a Bachelor’s degree in Commerce and an LLB degree from Mumbai University, and is a Company Secretary from ICSI.",n Business Management. He has over 20 years of experience in power projects and has previously worked with,FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/d06b9a9b-71c1-44d8-b34e-3dc318c6e5d2.pdf
