,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,5751.0,5749.0,5861.0,7518.0,9111.0,5976.0,6099.0,6130.0,6282.0,6703.0,7234.0,8280.0
Expenses,,5141.0,4493.0,4510.0,5995.0,7367.0,4428.0,4695.0,4980.0,5503.0,5802.0,6061.0,7020.0
Operating Profit,,610.0,1256.0,1352.0,1522.0,1744.0,1548.0,1403.0,1150.0,779.0,901.0,1173.0,1260.0
OPM %,,11.0,22.0,23.0,20.0,19.0,26.0,23.0,19.0,12.0,13.0,16.0,15.0
Other Income,,86.0,4.0,19.0,36.0,-249.0,225.0,263.0,8.0,-9.0,-76.0,416.0,7.0
Interest,,368.0,371.0,341.0,284.0,220.0,200.0,184.0,145.0,188.0,272.0,240.0,212.0
Depreciation,,288.0,347.0,291.0,415.0,371.0,340.0,349.0,382.0,554.0,382.0,369.0,440.0
Profit before tax,,40.0,542.0,738.0,859.0,904.0,1233.0,1133.0,630.0,28.0,170.0,981.0,614.0
Tax %,,200.0,29.0,22.0,26.0,36.0,27.0,26.0,34.0,333.0,57.0,15.0,35.0
Net Profit,,-40.0,387.0,575.0,634.0,577.0,898.0,836.0,413.0,-65.0,73.0,836.0,398.0
EPS in Rs,,-3.63,24.6,36.14,40.35,36.06,56.39,52.47,25.98,-3.83,4.84,52.69,25.02
Dividend Payout %,,-83.0,12.0,8.0,7.0,12.0,9.0,10.0,19.0,-130.0,102.0,9.0,20.0
Sales Growth %,Sales,-0.2,-0.03,1.95,28.26,21.19,-34.41,2.05,0.52,2.47,6.71,7.93,14.45
Material Cost %,Expenses,46.29,36.83,34.11,38.16,38.66,24.35,25.19,24.27,29.89,31.94,32.03,31.94
Manufacturing Cost %,Expenses,14.3,13.87,12.98,11.96,11.11,7.79,8.96,11.21,11.71,9.77,9.43,0.0
Employee Cost %,Expenses,18.97,19.57,21.0,20.7,21.14,30.84,31.53,33.33,34.48,33.06,31.35,32.62
Other Cost %,Expenses,9.84,7.88,8.85,8.94,9.95,11.11,11.32,12.43,11.51,11.79,10.98,20.23
Exceptional items,Other Income,-22.0,-9.0,-6.0,-4.0,-285.0,-33.0,234.0,-3.0,-60.0,-169.0,360.0,-59.0
Other income normal,Other Income,108.0,13.0,25.0,40.0,36.0,258.0,29.0,11.0,51.0,93.0,57.0,66.0
Minority share,Net Profit,-18.0,5.0,1.0,8.0,-3.0,0.0,0.0,1.0,4.0,4.0,3.0,1.0
Exceptional items AT,Net Profit,23.0,-6.0,-4.0,-3.0,-165.0,-24.0,-21.0,-2.0,328.0,32.0,281.0,-38.0
Profit excl Excep,Net Profit,-63.0,393.0,579.0,637.0,742.0,922.0,856.0,415.0,-393.0,41.0,555.0,436.0
Profit for PE,Net Profit,-81.0,398.0,580.0,646.0,739.0,922.0,856.0,416.0,-369.0,45.0,558.0,437.0
Profit for EPS,Net Profit,-58.0,392.0,576.0,643.0,574.0,898.0,836.0,414.0,-61.0,77.0,839.0,398.0
Profit Growth %,Net Profit,-144.0,593.0,46.0,11.0,14.0,25.0,-7.0,-51.0,-189.0,112.0,1132.0,-22.0
