,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,732.0,748.0,888.0,988.0,1151.0,1312.0,1128.0,1589.0,2346.0,2536.0,2850.0,3285.0
Expenses,,711.0,656.0,896.0,769.0,1142.0,1662.0,1054.0,1143.0,1997.0,1825.0,1976.0,2113.0
Operating Profit,,21.0,91.0,-9.0,219.0,9.0,-350.0,74.0,446.0,348.0,711.0,874.0,1172.0
OPM %,,3.0,12.0,-1.0,22.0,1.0,-27.0,7.0,28.0,15.0,28.0,31.0,36.0
Other Income,,89.0,111.0,50.0,401.0,737.0,286.0,1584.0,13810.0,-116.0,303.0,1220.0,1099.0
Interest,,4.0,3.0,4.0,5.0,7.0,14.0,11.0,11.0,18.0,35.0,36.0,27.0
Depreciation,,47.0,24.0,33.0,30.0,22.0,48.0,45.0,45.0,73.0,101.0,113.0,123.0
Profit before tax,,60.0,175.0,5.0,585.0,716.0,-126.0,1602.0,14200.0,141.0,878.0,1945.0,2121.0
Tax %,,124.0,33.0,935.0,14.0,17.0,95.0,12.0,9.0,150.0,32.0,33.0,17.0
Net Profit,,-14.0,118.0,-43.0,501.0,592.0,-246.0,1418.0,12882.0,-70.0,595.0,1310.0,1763.0
EPS in Rs,,0.4,2.24,-0.39,8.41,9.89,-3.88,22.0,198.16,-1.66,8.89,14.85,22.36
Dividend Payout %,,150.0,27.0,-230.0,13.0,12.0,-31.0,7.0,1.0,-228.0,49.0,40.0,38.0
Sales Growth %,Sales,29.14,2.05,18.74,11.33,16.46,13.99,-14.02,40.87,47.62,8.13,12.35,15.27
Material Cost %,Expenses,0.0,0.0,1.32,1.23,0.77,0.16,0.0,0.0,0.0,0.0,0.0,0.0
Manufacturing Cost %,Expenses,7.01,5.64,4.38,3.54,3.78,3.56,3.51,2.94,3.52,4.01,3.67,0.0
Employee Cost %,Expenses,56.53,51.15,51.43,46.41,44.31,44.56,50.3,46.97,46.78,44.48,43.35,40.84
Other Cost %,Expenses,33.57,31.04,43.83,26.66,50.39,78.4,39.59,22.02,34.85,23.46,22.31,23.47
Profit from Associates,Net Profit,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minority share,Net Profit,39.0,18.0,19.0,11.0,11.0,8.0,-2.0,-123.0,-37.0,-19.0,-348.0,-313.0
Exceptional items AT,Net Profit,-10.0,-17.0,45.0,260.0,522.0,73.0,1289.0,10387.0,181.0,45.0,795.0,32.0
Profit excl Excep,Net Profit,-4.0,135.0,-88.0,241.0,70.0,-319.0,129.0,2495.0,-251.0,550.0,515.0,1731.0
Profit for PE,Net Profit,34.0,152.0,-49.0,252.0,82.0,-308.0,128.0,2471.0,-288.0,532.0,379.0,1423.0
Profit for EPS,Net Profit,24.0,136.0,-24.0,512.0,604.0,-238.0,1416.0,12760.0,-107.0,575.0,962.0,1450.0
Profit Growth %,Net Profit,-59.0,344.0,-132.0,618.0,-68.0,-477.0,142.0,1824.0,-112.0,285.0,-29.0,276.0
