,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,441.0,582.0,737.0,796.0,987.0,981.0,286.0,508.0,1128.0,1417.0,1718.0,2770.0
Expenses,,377.0,446.0,624.0,551.0,668.0,644.0,279.0,409.0,676.0,833.0,982.0,1582.0
Operating Profit,,64.0,136.0,113.0,245.0,319.0,337.0,7.0,98.0,453.0,585.0,736.0,1187.0
OPM %,,14.0,23.0,15.0,31.0,32.0,34.0,2.0,19.0,40.0,41.0,43.0,43.0
Other Income,,18.0,13.0,311.0,-66.0,44.0,24.0,14.0,11.0,92.0,20.0,36.0,42.0
Interest,,161.0,216.0,218.0,212.0,266.0,146.0,152.0,144.0,154.0,197.0,159.0,180.0
Depreciation,,62.0,99.0,127.0,112.0,115.0,113.0,117.0,118.0,117.0,138.0,179.0,230.0
Profit before tax,,-141.0,-166.0,79.0,-145.0,-18.0,101.0,-248.0,-153.0,273.0,269.0,434.0,819.0
Tax %,,-10.0,-32.0,-61.0,-36.0,-58.0,1.0,-44.0,-47.0,33.0,-3.0,67.0,21.0
Net Profit,,-126.0,-112.0,127.0,-93.0,-8.0,100.0,-139.0,-81.0,183.0,278.0,142.0,645.0
EPS in Rs,,-8.31,-7.39,8.38,-5.43,-0.37,5.01,-6.78,-3.98,8.94,13.54,6.53,29.46
Dividend Payout %,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
Sales Growth %,Sales,-12.0,32.0,27.0,8.0,24.0,-1.0,-71.0,78.0,122.0,26.0,21.0,61.0
Material Cost %,Expenses,0.0,0.0,0.0,6.26,11.21,8.68,8.36,10.35,8.85,7.45,6.8,20.45
Manufacturing Cost %,Expenses,39.24,33.95,27.4,20.89,17.17,17.79,31.37,30.38,20.17,18.13,17.52,3.41
Employee Cost %,Expenses,19.53,18.33,16.12,16.11,14.7,15.49,31.43,19.78,13.43,13.77,13.68,10.39
Other Cost %,Expenses,26.73,24.34,41.14,25.98,24.58,23.71,26.36,20.09,17.42,19.39,19.17,22.88
Exceptional items,Other Income,-8.08,-2.59,123.73,-110.17,-3.86,-2.66,-7.39,-10.62,43.09,0.72,8.74,-1.02
Other income normal,Other Income,25.6,15.1,187.18,44.15,47.37,26.39,21.49,21.55,48.71,18.96,27.56,42.67
Minority share,Net Profit,0.0,0.0,0.0,0.0,0.0,3.0,0.0,-0.0,0.0,-0.0,0.0,0.0
Exceptional items AT,Net Profit,-8.0,-3.0,124.0,-110.0,-4.0,-2.0,-4.0,-4.0,26.0,1.0,1.0,-1.0
Profit excl Excep,Net Profit,-118.0,-110.0,4.0,17.0,-4.0,102.0,-135.0,-77.0,157.0,278.0,141.0,646.0
Profit for PE,Net Profit,-118.0,-110.0,4.0,17.0,-4.0,105.0,-135.0,-77.0,157.0,278.0,141.0,646.0
Profit for EPS,Net Profit,-126.0,-112.0,127.0,-93.0,-8.0,103.0,-139.0,-82.0,183.0,278.0,143.0,645.0
Profit Growth %,Net Profit,-224.0,7.0,103.0,366.0,-123.0,2734.0,-229.0,43.0,303.0,77.0,-49.0,357.0
