,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,8.66,77.86,20.96,22.82,12.85,9.0,8.66,11.28,12.98,13.04,24.96,27.7
Expenses,,1.61,70.09,12.35,9.15,6.35,3.77,2.75,3.91,6.03,6.92,10.89,17.66
Operating Profit,,7.05,7.77,8.61,13.67,6.5,5.23,5.91,7.37,6.95,6.12,14.07,10.04
OPM %,,81.41,9.98,41.08,59.9,50.58,58.11,68.24,65.34,53.54,46.93,56.37,36.25
Other Income,,-0.01,0.0,0.0,0.01,0.14,0.02,0.0,0.0,0.0,0.0,0.0,0.74
Interest,,4.32,4.64,4.22,9.89,5.65,1.55,1.92,3.14,3.7,3.87,2.16,2.22
Depreciation,,1.14,1.11,0.93,0.78,0.78,0.74,0.71,0.63,0.52,0.48,0.47,1.24
Profit before tax,,1.58,2.02,3.46,3.01,0.21,2.96,3.28,3.6,2.73,1.77,11.44,7.32
Tax %,,9.49,17.82,25.43,23.26,-104.76,33.45,29.57,32.5,16.12,20.9,27.01,30.46
Net Profit,,1.43,1.66,2.59,2.3,0.43,1.97,2.3,2.44,2.29,1.4,8.34,5.09
EPS in Rs,,0.29,0.33,0.52,0.23,0.04,0.2,0.16,0.12,0.12,0.07,0.42,0.23
Dividend Payout %,,69.93,60.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sales Growth %,Sales,-32.4,799.08,-73.08,8.87,-43.69,-29.96,-3.78,30.25,15.07,0.46,91.41,10.98
Exceptional items,Other Income,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other income normal,Other Income,0.0,0.0,0.0,0.01,0.14,0.02,0.0,0.0,0.0,0.0,0.0,0.74
Exceptional items AT,Net Profit,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Profit excl Excep,Net Profit,1.44,1.66,2.59,2.3,0.43,1.97,2.3,2.44,2.29,1.4,8.34,5.09
Profit for PE,Net Profit,1.44,1.66,2.59,2.3,0.43,1.97,2.3,2.44,2.29,1.4,8.34,5.09
Profit for EPS,Net Profit,1.43,1.66,2.59,2.3,0.43,1.97,2.3,2.44,2.29,1.4,8.34,5.09
Profit Growth %,Net Profit,5.11,15.28,56.02,-11.2,-81.3,358.14,16.75,6.09,-6.15,-38.86,495.71,-38.97
