,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,3115.0,3776.0,4064.0,3891.0,4946.0,5394.0,6969.0,8960.0,7768.0,7845.0,9360.0,10560.0
Expenses,,1942.0,2354.0,2615.0,2622.0,3072.0,3568.0,4102.0,5075.0,5397.0,5635.0,6387.0,7119.0
Operating Profit,,1173.0,1423.0,1450.0,1269.0,1874.0,1826.0,2867.0,3885.0,2370.0,2210.0,2973.0,3441.0
OPM %,,38.0,38.0,36.0,33.0,38.0,34.0,41.0,43.0,31.0,28.0,32.0,33.0
Other Income,,38.0,93.0,72.0,107.0,154.0,186.0,57.0,112.0,344.0,335.0,348.0,433.0
Interest,,3.0,5.0,3.0,2.0,5.0,7.0,2.0,2.0,2.0,4.0,3.0,23.0
Depreciation,,136.0,118.0,123.0,142.0,169.0,186.0,256.0,312.0,343.0,378.0,402.0,463.0
Profit before tax,,1072.0,1393.0,1395.0,1231.0,1855.0,1819.0,2666.0,3684.0,2369.0,2163.0,2916.0,3388.0
Tax %,,21.0,19.0,24.0,29.0,27.0,24.0,26.0,20.0,23.0,26.0,25.0,24.0
Net Profit,,852.0,1126.0,1060.0,877.0,1353.0,1377.0,1984.0,2960.0,1823.0,1600.0,2191.0,2568.0
EPS in Rs,,32.07,42.41,39.95,33.04,50.96,51.85,74.75,111.52,68.69,60.27,82.53,96.73
Dividend Payout %,,31.0,24.0,25.0,30.0,31.0,31.0,27.0,27.0,44.0,50.0,36.0,31.0
Sales Growth %,Sales,23.02,21.23,7.63,-4.25,27.1,9.06,29.2,28.56,-13.31,1.0,19.31,12.82
Material Cost %,Expenses,38.95,39.83,38.57,40.38,37.71,39.87,34.1,33.8,40.05,40.68,40.53,38.76
Manufacturing Cost %,Expenses,9.23,8.17,7.87,9.34,8.28,8.98,7.86,7.54,10.41,11.04,8.37,0.0
Employee Cost %,Expenses,9.33,9.57,12.3,11.73,10.97,11.54,11.88,10.58,12.58,13.97,13.3,13.66
Other Cost %,Expenses,4.82,4.77,5.59,5.95,5.14,5.75,5.02,4.72,6.44,6.14,6.04,15.0
Exceptional items AT,Net Profit,-6.0,-3.0,-1.0,-4.0,-0.0,41.0,-2.0,-2.0,-1.0,-3.0,1.0,-55.0
Profit excl Excep,Net Profit,857.0,1129.0,1062.0,881.0,1353.0,1335.0,1987.0,2962.0,1824.0,1603.0,2190.0,2623.0
Profit for PE,Net Profit,857.0,1129.0,1062.0,881.0,1353.0,1335.0,1987.0,2962.0,1824.0,1603.0,2190.0,2623.0
Profit for EPS,Net Profit,852.0,1126.0,1060.0,877.0,1353.0,1377.0,1984.0,2960.0,1823.0,1600.0,2191.0,2568.0
Profit Growth %,Net Profit,11.0,32.0,-6.0,-17.0,54.0,-1.0,49.0,49.0,-38.0,-12.0,37.0,20.0
