,parent_line_item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,460.0,943.0,1493.0,1920.0,2067.0,2392.0
Expenses,,1794.0,932.0,1470.0,1782.0,1998.0,2156.0
Operating Profit,,-1334.0,12.0,23.0,138.0,69.0,236.0
OPM %,,-290.0,1.0,2.0,7.0,3.0,10.0
Other Income,,12.0,21.0,-132.0,49.0,79.0,79.0
Interest,,1.0,3.0,7.0,9.0,13.0,13.0
Depreciation,,2.0,7.0,25.0,31.0,45.0,44.0
Profit before tax,,-1325.0,22.0,-141.0,147.0,90.0,257.0
Tax %,,1.0,36.0,7.0,25.0,19.0,22.0
Net Profit,,-1332.0,14.0,-151.0,111.0,73.0,200.0
EPS in Rs,,-1306098.04,15262.14,-10.47,3.45,2.24,6.15
Dividend Payout %,,0.0,0.0,0.0,0.0,0.0,0.0
Sales Growth %,Sales,,105.11,58.22,28.61,7.66,15.72
Material Cost %,Expenses,28.85,30.04,29.93,30.25,29.65,29.87
Manufacturing Cost %,Expenses,11.91,2.21,2.39,2.26,2.68,0.0
Employee Cost %,Expenses,6.03,8.36,11.09,8.92,9.73,10.98
Other Cost %,Expenses,343.21,58.17,55.06,51.37,54.62,49.28
Exceptional items,Other Income,-0.0,-0.0,-155.0,-1.0,0.0,-5.0
Other income normal,Other Income,12.0,21.0,23.0,50.0,79.0,84.0
Minority share,Net Profit,0.0,1.0,8.0,1.0,0.0,-0.0
Exceptional items AT,Net Profit,-0.0,-0.0,-172.0,-1.0,0.0,-4.0
Profit excl Excep,Net Profit,-1332.0,14.0,21.0,111.0,73.0,204.0
Profit for PE,Net Profit,-1332.0,16.0,20.0,113.0,73.0,204.0
Profit for EPS,Net Profit,-1332.0,16.0,-143.0,112.0,73.0,200.0
Profit Growth %,Net Profit,,101.0,26.0,469.0,-35.0,180.0
