,parent_line_item,Mar 2024,Mar 2025,Mar 2026
Sales,,2224.0,3560.0,4139.0
Expenses,,1454.0,2305.0,2716.0
Operating Profit,,771.0,1255.0,1424.0
OPM %,,35.0,35.0,34.0
Other Income,,16.0,76.0,124.0
Interest,,20.0,44.0,8.0
Depreciation,,201.0,402.0,417.0
Profit before tax,,565.0,884.0,1123.0
Tax %,,25.0,28.0,27.0
Net Profit,,424.0,638.0,821.0
EPS in Rs,,3.05,3.92,
Dividend Payout %,,0.0,0.0,26.0
Sales Growth %,Sales,,60.03,16.28
Material Cost %,Expenses,0.0,0.0,9.04
Manufacturing Cost %,Expenses,28.39,28.06,0.0
Employee Cost %,Expenses,19.05,19.45,18.91
Other Cost %,Expenses,17.92,17.24,37.65
Exceptional items,Other Income,-5.0,-6.0,-80.0
Other income normal,Other Income,21.0,82.0,204.0
Minority share,Net Profit,-2.0,-3.0,-4.0
Exceptional items AT,Net Profit,-4.0,-5.0,-59.0
Profit excl Excep,Net Profit,428.0,642.0,880.0
Profit for PE,Net Profit,426.0,639.0,875.0
Profit for EPS,Net Profit,422.0,635.0,817.0
Profit Growth %,Net Profit,,50.0,37.0
