,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue,,5396.0,5443.0,5622.0,5700.0,5816.0,5990.0,5470.0,5588.0,6517.0,8213.0,9678.0,11074.0
Interest,,3930.0,3662.0,3549.0,3402.0,3453.0,3642.0,3111.0,2872.0,3168.0,4395.0,5418.0,6136.0
Expenses,,1503.0,1494.0,1887.0,2609.0,2902.0,3112.0,2620.0,2434.0,2965.0,3267.0,3385.0,3703.0
Financing Profit,,-37.0,288.0,187.0,-311.0,-539.0,-764.0,-260.0,281.0,384.0,551.0,875.0,1236.0
Financing Margin %,,-1.0,5.0,3.0,-5.0,-9.0,-13.0,-5.0,5.0,6.0,7.0,9.0,11.0
Other Income,,590.0,707.0,782.0,900.0,963.0,1155.0,919.0,769.0,1159.0,1649.0,1830.0,2084.0
Depreciation,,81.0,83.0,86.0,85.0,101.0,119.0,124.0,119.0,106.0,100.0,114.0,0.0
Profit before tax,,471.0,912.0,883.0,504.0,322.0,272.0,534.0,931.0,1437.0,2100.0,2591.0,3320.0
Tax %,,2.0,38.0,31.0,31.0,35.0,14.0,33.0,28.0,23.0,24.0,25.0,24.0
Net Profit,,464.0,568.0,606.0,346.0,211.0,235.0,359.0,673.0,1106.0,1605.0,1942.0,2510.0
EPS in Rs,,4.95,6.05,6.46,3.6,2.2,2.45,3.75,7.01,11.49,16.63,20.1,25.97
Dividend Payout %,,34.0,30.0,26.0,13.0,23.0,0.0,11.0,19.0,14.0,12.0,11.0,10.0
Manufacturing Cost %,Expenses,0.59,0.83,0.78,1.06,0.96,1.18,1.25,1.33,1.38,1.23,1.11,0.0
Employee Cost %,Expenses,10.15,10.1,10.84,11.24,13.11,14.32,21.12,16.95,15.48,17.82,15.01,12.95
Other Cost %,Expenses,17.11,16.51,21.93,33.48,35.83,36.45,25.52,25.29,28.64,20.73,18.86,20.49
Exceptional items,Other Income,9.0,0.0,1.0,1.0,1.0,-12.0,0.0,1.0,1.0,8.0,3.0,0.0
Other income normal,Other Income,581.0,707.0,782.0,899.0,962.0,1167.0,919.0,768.0,1158.0,1642.0,1826.0,2084.0
Exceptional items AT,Net Profit,8.0,0.0,0.0,0.0,1.0,-8.0,0.0,1.0,1.0,6.0,2.0,0.0
Profit excl Excep,Net Profit,456.0,568.0,606.0,345.0,210.0,243.0,359.0,672.0,1105.0,1599.0,1939.0,2510.0
Profit for PE,Net Profit,456.0,568.0,606.0,345.0,210.0,243.0,359.0,672.0,1105.0,1599.0,1939.0,2510.0
Profit for EPS,Net Profit,464.0,568.0,606.0,346.0,211.0,235.0,359.0,673.0,1106.0,1605.0,1942.0,2510.0
Profit Growth %,Net Profit,6.0,25.0,7.0,-43.0,-39.0,16.0,48.0,87.0,64.0,45.0,21.0,29.0
