,parent_line_item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,15710.0,15087.0,16834.0,19865.0,21352.0,24367.0,24605.0
Expenses,,13241.0,12732.0,15124.0,17963.0,19123.0,21252.0,22197.0
Operating Profit,,2469.0,2355.0,1711.0,1901.0,2229.0,3115.0,2408.0
OPM %,,16.0,16.0,10.0,10.0,10.0,13.0,10.0
Other Income,,300.0,33.0,173.0,241.0,205.0,264.0,328.0
Interest,,6.0,20.0,24.0,25.0,32.0,35.0,41.0
Depreciation,,242.0,244.0,258.0,300.0,364.0,380.0,396.0
Profit before tax,,2521.0,2124.0,1601.0,1817.0,2037.0,2963.0,2300.0
Tax %,,26.0,28.0,27.0,26.0,26.0,26.0,27.0
Net Profit,,1854.0,1529.0,1175.0,1345.0,1511.0,2203.0,1685.0
EPS in Rs,,32.46,24.83,,,,,
Dividend Payout %,,0.0,87.0,193.0,185.0,138.0,0.0,0.0
Sales Growth %,Sales,,-3.97,11.58,18.0,7.49,14.12,0.98
Exceptional items,Other Income,1.0,-137.0,-30.0,-2.0,1.0,3.0,0.0
Other income normal,Other Income,299.0,169.0,202.0,243.0,204.0,261.0,328.0
