,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue,,10812.0,12491.0,14092.0,14876.0,17398.0,19740.0,19886.0,19978.0,22717.0,27277.0,28111.0,28837.0
Interest,,8310.0,9307.0,10231.0,11144.0,12891.0,14781.0,14450.0,14151.0,16135.0,18388.0,19528.0,19771.0
Expenses,,390.0,611.0,887.0,940.0,1104.0,1592.0,2012.0,3012.0,2964.0,2756.0,1609.0,1851.0
Financing Profit,,2112.0,2573.0,2974.0,2792.0,3404.0,3367.0,3423.0,2815.0,3618.0,6133.0,6974.0,7215.0
Financing Margin %,,20.0,21.0,21.0,19.0,20.0,17.0,17.0,14.0,16.0,22.0,25.0,25.0
Other Income,,17.0,12.0,9.0,0.0,0.0,-33.0,-5.0,27.0,11.0,4.0,3.0,10.0
Depreciation,,10.0,10.0,10.0,10.0,12.0,51.0,52.0,55.0,69.0,69.0,98.0,122.0
Profit before tax,,2119.0,2575.0,2973.0,2782.0,3392.0,3282.0,3365.0,2787.0,3561.0,6068.0,6879.0,7103.0
Tax %,,34.0,35.0,35.0,28.0,28.0,27.0,19.0,18.0,19.0,22.0,21.0,21.0
Net Profit,,1396.0,1668.0,1942.0,2008.0,2434.0,2404.0,2741.0,2286.0,2891.0,4763.0,5443.0,5604.0
EPS in Rs,,27.65,33.05,38.49,39.79,48.23,47.62,54.31,41.55,52.55,86.59,98.94,101.87
Dividend Payout %,,18.0,17.0,16.0,17.0,16.0,17.0,16.0,20.0,16.0,10.0,10.0,0.0
Material Cost %,Expenses,0.0,0.0,0.0,0.05,0.02,0.02,0.01,0.1,0.0,0.0,0.0,0.0
Manufacturing Cost %,Expenses,0.16,0.11,0.08,0.31,1.67,0.56,0.67,0.85,0.94,0.67,0.67,0.0
Employee Cost %,Expenses,1.29,1.32,1.89,1.65,1.58,1.66,1.63,3.02,2.28,2.39,2.7,2.48
Other Cost %,Expenses,2.16,3.46,4.32,4.31,3.07,5.82,7.81,11.1,9.83,7.05,2.36,3.94
Exceptional items,Other Income,0.03,0.06,0.06,0.02,0.09,0.12,0.01,0.01,0.16,0.4,0.1,0.0
Other income normal,Other Income,16.78,12.07,8.48,0.0,0.0,-33.36,-5.31,27.44,11.24,3.76,2.94,9.7
Profit from Associates,Net Profit,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minority share,Net Profit,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0
Exceptional items AT,Net Profit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Profit excl Excep,Net Profit,1396.0,1668.0,1942.0,2008.0,2434.0,2404.0,2741.0,2286.0,2891.0,4763.0,5443.0,5604.0
Profit for PE,Net Profit,1396.0,1668.0,1942.0,2008.0,2434.0,2403.0,2741.0,2286.0,2891.0,4763.0,5442.0,5604.0
Profit for EPS,Net Profit,1396.0,1668.0,1942.0,2008.0,2434.0,2403.0,2741.0,2286.0,2891.0,4763.0,5442.0,5604.0
Profit Growth %,Net Profit,6.0,19.0,16.0,3.0,21.0,-1.0,14.0,-17.0,26.0,65.0,14.0,3.0
