,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,129.0,111.0,132.0,1359.0,1217.0,1270.0,2198.0,2579.0,2666.0,4563.0,5359.0,4759.0
Expenses,,26.0,20.0,5.0,731.0,733.0,953.0,1096.0,1550.0,1700.0,2313.0,2851.0,2819.0
Operating Profit,,103.0,91.0,127.0,628.0,484.0,316.0,1102.0,1029.0,966.0,2250.0,2509.0,1940.0
OPM %,,80.0,82.0,96.0,46.0,40.0,25.0,50.0,40.0,36.0,49.0,47.0,41.0
Other Income,,0.0,0.0,-29.0,-5.0,30.0,37.0,-62.0,36.0,26.0,81.0,119.0,131.0
Interest,,30.0,30.0,5.0,93.0,104.0,129.0,128.0,162.0,217.0,466.0,812.0,838.0
Depreciation,,8.0,8.0,7.0,29.0,18.0,30.0,37.0,39.0,50.0,72.0,87.0,96.0
Profit before tax,,65.0,53.0,86.0,500.0,392.0,194.0,876.0,864.0,725.0,1792.0,1728.0,1135.0
Tax %,,7.0,13.0,0.0,21.0,18.0,-1.0,14.0,18.0,22.0,17.0,19.0,19.0
Net Profit,,60.0,47.0,86.0,393.0,322.0,197.0,751.0,707.0,569.0,1490.0,1391.0,923.0
EPS in Rs,,1.08,0.82,1.49,6.78,5.53,3.32,12.8,11.85,9.61,25.01,23.22,15.33
Dividend Payout %,,70.0,106.0,92.0,31.0,38.0,30.0,20.0,21.0,26.0,14.0,22.0,39.0
Sales Growth %,Sales,32.3,-14.2,19.25,927.78,-10.4,4.29,73.13,17.35,3.37,71.13,17.46,-11.2
Manufacturing Cost %,Expenses,2.85,1.81,0.84,1.77,27.61,40.18,24.81,30.67,31.0,24.99,24.15,0.0
Employee Cost %,Expenses,5.75,8.19,0.36,19.97,22.92,24.55,17.56,20.5,22.91,17.87,20.27,23.76
Other Cost %,Expenses,11.63,7.89,2.9,32.05,9.67,10.35,7.49,8.94,9.85,7.83,8.77,35.49
Exceptional items AT,Net Profit,0.0,0.0,-25.0,-5.0,-1.0,1.0,-72.0,0.0,0.0,-1.0,0.0,0.0
Profit excl Excep,Net Profit,60.0,47.0,112.0,398.0,323.0,196.0,823.0,707.0,569.0,1491.0,1391.0,923.0
Profit for PE,Net Profit,60.0,47.0,112.0,398.0,323.0,196.0,823.0,707.0,569.0,1491.0,1391.0,923.0
Profit for EPS,Net Profit,60.0,47.0,86.0,393.0,322.0,197.0,751.0,707.0,569.0,1490.0,1391.0,923.0
Profit Growth %,Net Profit,50.0,-23.0,139.0,256.0,-19.0,-39.0,319.0,-14.0,-20.0,162.0,-7.0,-34.0
